,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
lombrices_agregadas_g,26.0,28.846153846153847,15.317159809030676,0.0,20.0,30.0,40.0,50.0,-0.07556274881285682,-1.1617221177102925
replica,26.0,2.923076923076923,1.4675987714106855,1.0,2.0,3.0,4.0,5.0,0.057270266124091314,-1.3369795918367344
peso_cama_5cm_g,26.0,1054.25,105.13218822035427,920.0,985.0,1037.0,1119.1,1222.0,0.4346490323904936,-1.1274021388188318
peso_cama_10cm_g,26.0,1527.5653846153846,65.12319981271003,1411.7,1462.0,1547.0,1580.0,1610.0,-0.12045800494433737,-1.5326620700579616
peso_lombrices_inyectadas_g,26.0,28.846153846153847,15.317159809030676,0.0,20.0,30.0,40.0,50.0,-0.07556274881285682,-1.1617221177102925
humedad_pct,26.0,81.71923076923076,22.27750469385239,9.2,67.725,92.8,100.0,100.0,-1.5166035443868324,2.3020854661046783
temperatura_c,26.0,26.549999999999997,0.82522724143111,24.1,26.1,26.85,27.1,27.7,-1.051343198027689,1.1084093746563237
uv_intensity,26.0,209.1153846153846,1.0325472609783275,207.0,208.0,209.0,210.0,211.0,-0.00986671657658554,-0.7679391315754942
conductividad_us_cm,26.0,4275.461538461538,1747.3162331019357,0.0,3161.5,4046.0,5839.75,7026.0,-0.38079178722269574,-0.35863333155372734
ph,26.0,7.823076923076925,1.0025199019701079,5.1,7.45,7.95,8.475,9.0,-1.150180955047576,0.8398316670454768
nitrogeno_mg_kg,26.0,854.8846153846154,360.89470230781467,0.0,620.75,805.5,1180.0,1427.0,-0.32843580892869617,-0.49578129112460667
fosforo_mg_kg,26.0,1664.423076923077,493.4403447694094,0.0,1481.75,1908.0,1999.0,1999.0,-1.887672595826595,3.380583817132667
potasio_mg_kg,26.0,1666.3076923076924,493.79086822101294,0.0,1485.0,1915.5,1999.0,1999.0,-1.8966887611489904,3.4012499866551007
acel_x_g,26.0,179.9626923076923,183.50783215018788,0.0,0.0,179.935,359.925,359.94,3.815298225341761e-08,-1.999999854417498
acel_y_g,26.0,2.5711538461538455,1.4191640551340836,0.88,0.895,2.75,4.0,4.13,-0.1910034803842935,-1.7321173525750149
acel_z_g,26.0,34.112692307692306,0.287952186201913,33.69,33.88,34.13,34.25,34.75,0.6200081485023913,-0.47416120294805575
lluvia_binario,26.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,
salud,26.0,0.6038461538461538,0.024992306508511496,0.57,0.59,0.595,0.62,0.68,1.0879504508682785,1.3549797374359978
humedad_trama_pct,26.0,81.73461538461538,22.2607267142417,9.2,67.725,92.65,100.0,100.0,-1.5217927919986876,2.320491683572288
temperatura_trama_c,26.0,26.446153846153848,0.8266708023056183,24.1,26.05,26.55,26.9,27.7,-0.9334997018509702,1.0148230766002877
conductividad_trama_us_cm,26.0,4279.692307692308,1748.6558899733423,0.0,3161.5,4046.0,5839.75,7026.0,-0.3868743086992734,-0.36076249982176245
ph_trama,26.0,7.773076923076923,0.988152900034278,5.1,7.45,7.85,8.475,9.0,-1.0847781640469376,0.7837839127157347
nitrogeno_trama_mg_kg,26.0,855.7692307692307,361.1575066579464,0.0,620.75,805.5,1180.0,1427.0,-0.33464976390375845,-0.4977659527833942
fosforo_trama_mg_kg,26.0,1664.3076923076924,493.6158643504701,0.0,1481.75,1908.0,1999.0,1999.0,-1.8865353791891821,3.372877910606551
potasio_trama_mg_kg,26.0,1666.1923076923076,493.96696401526845,0.0,1485.0,1915.5,1999.0,1999.0,-1.8955465644626288,3.3935130048603863
ID,26.0,13.5,7.648529270389178,1.0,7.25,13.5,19.75,26.0,0.0,-1.2035555555555555
img_pix_count_50,26.0,173940.38461538462,620.0596149999174,170918.0,174080.0,174080.0,174080.0,174080.0,-4.714779960792569,20.48600327796404
img_pix_density_50,26.0,99.91979814762443,0.3561923339843276,98.18359375,100.0,100.0,100.0,100.0,-4.714779960792523,20.486003277963746
img_pix_count_80,26.0,172532.42307692306,3337.165829539513,161810.0,173225.25,174080.0,174080.0,174080.0,-2.3984525166160475,4.605900135525145
img_pix_density_80,26.0,99.11099671238688,1.9170300031821659,92.95151654411765,99.5089901194853,100.0,100.0,100.0,-2.398452516616059,4.605900135525183
img_pix_count_100,26.0,164461.88461538462,18379.405797417767,90703.0,162799.25,173349.5,174056.5,174080.0,-2.79870439852793,8.218284955137618
img_pix_density_100,26.0,94.47488776159504,10.558022631788699,52.10420496323529,93.51978975183825,99.5803653492647,99.98650045955883,100.0,-2.798704398527933,8.218284955137628
img_pix_count_130,26.0,140017.65384615384,43290.61177663564,17385.0,107802.75,160610.0,172545.5,174080.0,-1.279112857013213,0.7225960557039288
img_pix_density_130,26.0,80.4329353436086,24.868228272423966,9.986787683823529,61.927131204044116,92.26217830882354,99.11850873161764,100.0,-1.2791128570132142,0.722596055703931
img_pix_count_150,26.0,110961.65384615384,58573.66896546079,2865.0,59368.25,121395.5,167904.75,172223.0,-0.4242602391571527,-1.2859764789518908
img_pix_density_150,26.0,63.741758873020366,33.647557999460474,1.6457950367647058,34.10400390625,69.73546645220588,96.45263671875,98.93324908088236,-0.42426023915715294,-1.2859764789518908
img_pix_count_180,26.0,46206.769230769234,44022.26679152966,246.0,6760.75,20493.0,96914.5,114162.0,0.39618044179249656,-1.5662716256484863
img_pix_density_180,26.0,26.543410633484164,25.28852641976658,0.1413143382352941,3.8837028952205883,11.772173713235293,55.67239200367647,65.58019301470588,0.39618044179249673,-1.5662716256484854
img_pix_count_200,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
img_pix_density_200,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
img_pix_percentile_count_50,26.0,81640.80769230769,3722.6438134125137,66325.0,80664.5,82253.5,83856.0,85125.0,-2.7945638988139825,9.178488003745349
img_pix_percentile_density_50,26.0,46.89844191883484,2.1384672641386224,38.10029871323529,46.33760340073529,47.250402113970594,48.17095588235294,48.89993106617647,-2.79456389881399,9.178488003745384
img_pix_percentile_count_60,26.0,65392.11538461538,5031.490795594666,51634.0,64078.5,67495.0,68871.0,69518.0,-1.580943858382564,1.5382549078906145
