columna,tipo,nulos,nulos_pct,unicos
cold_lbp_25_23,float64,0,0.0,26
cold_lbp_25_24,float64,0,0.0,26
cold_lbp_25_25,float64,0,0.0,26
cold_area_pct_30,float64,0,0.0,26
cold_mean_30,float64,0,0.0,26
cold_std_30,float64,0,0.0,26
cold_median_30,float64,0,0.0,20
cold_lbp_30_0,float64,0,0.0,26
cold_lbp_30_1,float64,0,0.0,25
cold_lbp_30_2,float64,0,0.0,25
cold_lbp_30_3,float64,0,0.0,25
cold_lbp_30_4,float64,0,0.0,26
cold_lbp_30_5,float64,0,0.0,26
cold_lbp_30_6,float64,0,0.0,26
cold_lbp_30_7,float64,0,0.0,26
cold_lbp_30_8,float64,0,0.0,26
cold_lbp_30_9,float64,0,0.0,26
cold_lbp_30_10,float64,0,0.0,26
cold_lbp_30_11,float64,0,0.0,26
cold_lbp_30_12,float64,0,0.0,26
cold_lbp_30_13,float64,0,0.0,26
cold_lbp_30_14,float64,0,0.0,26
cold_lbp_30_15,float64,0,0.0,26
cold_lbp_30_16,float64,0,0.0,26
cold_lbp_30_17,float64,0,0.0,25
cold_lbp_30_18,float64,0,0.0,26
cold_lbp_30_19,float64,0,0.0,26
cold_lbp_30_20,float64,0,0.0,26
cold_lbp_30_21,float64,0,0.0,26
cold_lbp_30_22,float64,0,0.0,26
cold_lbp_30_23,float64,0,0.0,26
cold_lbp_30_24,float64,0,0.0,26
cold_lbp_30_25,float64,0,0.0,26
cold_area_pct_35,float64,0,0.0,26
cold_mean_35,float64,0,0.0,26
cold_std_35,float64,0,0.0,26
cold_median_35,float64,0,0.0,21
cold_lbp_35_0,float64,0,0.0,26
cold_lbp_35_1,float64,0,0.0,25
cold_lbp_35_2,float64,0,0.0,25
cold_lbp_35_3,float64,0,0.0,26
cold_lbp_35_4,float64,0,0.0,25
cold_lbp_35_5,float64,0,0.0,26
cold_lbp_35_6,float64,0,0.0,26
cold_lbp_35_7,float64,0,0.0,26
cold_lbp_35_8,float64,0,0.0,25
cold_lbp_35_9,float64,0,0.0,22
cold_lbp_35_10,float64,0,0.0,25
cold_lbp_35_11,float64,0,0.0,24
cold_lbp_35_12,float64,0,0.0,26
cold_lbp_35_13,float64,0,0.0,26
cold_lbp_35_14,float64,0,0.0,26
cold_lbp_35_15,float64,0,0.0,26
cold_lbp_35_16,float64,0,0.0,25
cold_lbp_35_17,float64,0,0.0,26
cold_lbp_35_18,float64,0,0.0,26
cold_lbp_35_19,float64,0,0.0,26
cold_lbp_35_20,float64,0,0.0,26
cold_lbp_35_21,float64,0,0.0,26
cold_lbp_35_22,float64,0,0.0,25
cold_lbp_35_23,float64,0,0.0,26
cold_lbp_35_24,float64,0,0.0,26
cold_lbp_35_25,float64,0,0.0,26
cold_area_pct_40,float64,0,0.0,26
cold_mean_40,float64,0,0.0,26
cold_std_40,float64,0,0.0,26
cold_median_40,float64,0,0.0,23
cold_lbp_40_0,float64,0,0.0,26
cold_lbp_40_1,float64,0,0.0,24
cold_lbp_40_2,float64,0,0.0,25
cold_lbp_40_3,float64,0,0.0,26
cold_lbp_40_4,float64,0,0.0,26
cold_lbp_40_5,float64,0,0.0,26
cold_lbp_40_6,float64,0,0.0,26
cold_lbp_40_7,float64,0,0.0,26
cold_lbp_40_8,float64,0,0.0,26
cold_lbp_40_9,float64,0,0.0,26
cold_lbp_40_10,float64,0,0.0,26
cold_lbp_40_11,float64,0,0.0,26
cold_lbp_40_12,float64,0,0.0,25
cold_lbp_40_13,float64,0,0.0,26
cold_lbp_40_14,float64,0,0.0,26
cold_lbp_40_15,float64,0,0.0,26
cold_lbp_40_16,float64,0,0.0,26
cold_lbp_40_17,float64,0,0.0,26
cold_lbp_40_18,float64,0,0.0,26
cold_lbp_40_19,float64,0,0.0,25
cold_lbp_40_20,float64,0,0.0,26
cold_lbp_40_21,float64,0,0.0,26
cold_lbp_40_22,float64,0,0.0,26
cold_lbp_40_23,float64,0,0.0,26
cold_lbp_40_24,float64,0,0.0,25
cold_lbp_40_25,float64,0,0.0,26
