modelo,grupo_excluido,n_test,MAE,RMSE
Ridge,0,1,10.06120285507123,10.06120285507123
Ridge,10,5,3.6389432660978023,4.2964468020736
Ridge,20,5,5.860765838808391,8.338553151370903
Ridge,30,5,3.474368665678172,4.490894400716574
Ridge,40,5,1.036772831132771,1.1625777019030676
Ridge,50,5,1.9065470191216847,2.799896882803632
SVR_RBF,0,1,19.958152743848267,19.958152743848267
SVR_RBF,10,5,14.063785294107172,14.147922970032123
SVR_RBF,20,5,4.760931179764975,5.3699883704613605
SVR_RBF,30,5,3.5314567093890554,3.9366888348694666
SVR_RBF,40,5,4.001696662129296,4.6298400909392186
SVR_RBF,50,5,17.852230843269343,18.297769263717395
RandomForest,0,1,14.148333333333333,14.148333333333333
RandomForest,10,5,7.48532142857143,8.025383074253865
RandomForest,20,5,7.2536249999999995,7.3921730784107424
RandomForest,30,5,4.620511904761907,4.864228002470676
RandomForest,40,5,3.027916666666667,3.0615884414339924
RandomForest,50,5,13.92116666666667,14.083157040316715
GradientBoosting,0,1,10.620863549607044,10.620863549607044
GradientBoosting,10,5,6.217397087852571,7.276356091118312
GradientBoosting,20,5,7.874321190859385,9.00489756810972
GradientBoosting,30,5,3.3651853331499892,3.980210839675306
GradientBoosting,40,5,2.3721565314876982,2.7932387940293246
GradientBoosting,50,5,11.42386669511281,11.5757918015704
CatBoost,0,1,15.144575855900523,15.144575855900523
CatBoost,10,5,9.96269516835532,10.445044207906083
CatBoost,20,5,7.6386913025289775,7.72959474016652
CatBoost,30,5,4.275279297427876,5.001939199530201
CatBoost,40,5,0.9731616028921763,1.5687617838150365
CatBoost,50,5,15.77622195931996,15.916741683548604
