imagen,lombrices_agregadas_g,replica,modelo,validacion,prediccion,error,error_abs
T0G-1.jpg,0,1,Ridge,LOO,10.06120285507123,-10.06120285507123,10.06120285507123
T10G-1.jpg,10,1,Ridge,LOO,4.409794073030525,5.590205926969475,5.590205926969475
T10G-2.jpg,10,2,Ridge,LOO,5.733346944288105,4.266653055711895,4.266653055711895
T10G-3.jpg,10,3,Ridge,LOO,11.881926972888554,-1.8819269728885537,1.8819269728885537
T10G-4.jpg,10,4,Ridge,LOO,18.32704968501147,-8.32704968501147,8.32704968501147
T10G-5.jpg,10,5,Ridge,LOO,16.93257732387226,-6.932577323872259,6.932577323872259
T20G-1.jpg,20,1,Ridge,LOO,19.175132401232748,0.824867598767252,0.824867598767252
T20G-2.jpg,20,2,Ridge,LOO,14.605741741834356,5.394258258165644,5.394258258165644
T20G-3.jpg,20,3,Ridge,LOO,26.163526007263105,-6.163526007263105,6.163526007263105
T20G-4.jpg,20,4,Ridge,LOO,9.124451080494005,10.875548919505995,10.875548919505995
T20G-5.jpg,20,5,Ridge,LOO,22.21514283131301,-2.2151428313130097,2.2151428313130097
T30G-1.jpg,30,1,Ridge,LOO,27.244107825582446,2.7558921744175535,2.7558921744175535
T30G-2.jpg,30,2,Ridge,LOO,28.070755845415153,1.9292441545848469,1.9292441545848469
T30G-3.jpg,30,3,Ridge,LOO,30.708396984720753,-0.7083969847207534,0.7083969847207534
T30G-4.jpg,30,4,Ridge,LOO,28.217996344775084,1.7820036552249157,1.7820036552249157
T30G-5.jpg,30,5,Ridge,LOO,34.0590029987417,-4.059002998741697,4.059002998741697
T40G-1.jpg,40,1,Ridge,LOO,42.295425775373815,-2.2954257753738148,2.2954257753738148
T40G-2.jpg,40,2,Ridge,LOO,39.76953668370636,0.23046331629363692,0.23046331629363692
T40G-3.jpg,40,3,Ridge,LOO,40.439888898993274,-0.4398888989932743,0.4398888989932743
T40G-4.jpg,40,4,Ridge,LOO,38.27880489748292,1.721195102517079,1.721195102517079
T40G-5.jpg,40,5,Ridge,LOO,40.79303299354179,-0.793032993541793,0.793032993541793
T50G-1.jpg,50,1,Ridge,LOO,47.48696454120838,2.51303545879162,2.51303545879162
T50G-2.jpg,50,2,Ridge,LOO,51.50213172947643,-1.5021317294764316,1.5021317294764316
T50G-3.jpg,50,3,Ridge,LOO,52.63531803112127,-2.6353180311212725,2.6353180311212725
T50G-4.jpg,50,4,Ridge,LOO,43.52150677358746,6.478493226412539,6.478493226412539
T50G-5.jpg,50,5,Ridge,LOO,49.768978245752905,0.23102175424709515,0.23102175424709515
T0G-1.jpg,0,1,SVR_RBF,LOO,19.958152743848267,-19.958152743848267,19.958152743848267
T10G-1.jpg,10,1,SVR_RBF,LOO,15.834324896501904,-5.834324896501904,5.834324896501904
T10G-2.jpg,10,2,SVR_RBF,LOO,19.679055973845145,-9.679055973845145,9.679055973845145
T10G-3.jpg,10,3,SVR_RBF,LOO,16.685845610110427,-6.685845610110427,6.685845610110427
T10G-4.jpg,10,4,SVR_RBF,LOO,26.690981143312797,-16.690981143312797,16.690981143312797
T10G-5.jpg,10,5,SVR_RBF,LOO,21.81628967444843,-11.81628967444843,11.81628967444843
T20G-1.jpg,20,1,SVR_RBF,LOO,21.697874251416856,-1.6978742514168559,1.6978742514168559
T20G-2.jpg,20,2,SVR_RBF,LOO,17.062380719727262,2.937619280272738,2.937619280272738
T20G-3.jpg,20,3,SVR_RBF,LOO,24.801077874774816,-4.8010778747748155,4.8010778747748155
