imagen,lombrices_agregadas_g,replica,modelo,validacion,grupo_excluido,prediccion,error,error_abs
T0G-1.jpg,0,1,Ridge,LOWO,0,10.06120285507123,-10.06120285507123,10.06120285507123
T10G-1.jpg,10,1,Ridge,LOWO,10,5.1454387530273245,4.8545612469726755,4.8545612469726755
T10G-2.jpg,10,2,Ridge,LOWO,10,8.993511858406084,1.0064881415939162,1.0064881415939162
T10G-3.jpg,10,3,Ridge,LOWO,10,11.034628793262439,-1.0346287932624385,1.0346287932624385
T10G-4.jpg,10,4,Ridge,LOWO,10,16.835458375723565,-6.835458375723565,6.835458375723565
T10G-5.jpg,10,5,Ridge,LOWO,10,14.463579772936416,-4.463579772936416,4.463579772936416
T20G-1.jpg,20,1,Ridge,LOWO,20,20.358911200656948,-0.3589112006569479,0.3589112006569479
T20G-2.jpg,20,2,Ridge,LOWO,20,17.304138168391688,2.695861831608312,2.695861831608312
T20G-3.jpg,20,3,Ridge,LOWO,20,26.053958597114523,-6.053958597114523,6.053958597114523
T20G-4.jpg,20,4,Ridge,LOWO,20,2.842371278057051,17.15762872194295,17.15762872194295
T20G-5.jpg,20,5,Ridge,LOWO,20,23.037468842719225,-3.0374688427192247,3.0374688427192247
T30G-1.jpg,30,1,Ridge,LOWO,30,26.24153626463184,3.75846373536816,3.75846373536816
T30G-2.jpg,30,2,Ridge,LOWO,30,28.61327696848085,1.3867230315191499,1.3867230315191499
T30G-3.jpg,30,3,Ridge,LOWO,30,29.762333772415676,0.23766622758432376,0.23766622758432376
T30G-4.jpg,30,4,Ridge,LOWO,30,33.458042690904165,-3.458042690904165,3.458042690904165
T30G-5.jpg,30,5,Ridge,LOWO,30,38.53094764301506,-8.530947643015061,8.530947643015061
T40G-1.jpg,40,1,Ridge,LOWO,40,41.531552042992814,-1.5315520429928142,1.5315520429928142
T40G-2.jpg,40,2,Ridge,LOWO,40,39.69337003482095,0.3066299651790487,0.3066299651790487
T40G-3.jpg,40,3,Ridge,LOWO,40,40.54827106605107,-0.5482710660510719,0.5482710660510719
T40G-4.jpg,40,4,Ridge,LOWO,40,38.83032003396162,1.1696799660383803,1.1696799660383803
T40G-5.jpg,40,5,Ridge,LOWO,40,41.62773111540254,-1.6277311154025398,1.6277311154025398
T50G-1.jpg,50,1,Ridge,LOWO,50,48.57514324366771,1.4248567563322894,1.4248567563322894
T50G-2.jpg,50,2,Ridge,LOWO,50,49.96387513058495,0.036124869415047556,0.036124869415047556
T50G-3.jpg,50,3,Ridge,LOWO,50,50.20748037746103,-0.20748037746103165,0.20748037746103165
T50G-4.jpg,50,4,Ridge,LOWO,50,44.30730285466453,5.692697145335472,5.692697145335472
T50G-5.jpg,50,5,Ridge,LOWO,50,47.82842405293542,2.171575947064582,2.171575947064582
T0G-1.jpg,0,1,SVR_RBF,LOWO,0,19.958152743848267,-19.958152743848267,19.958152743848267
T10G-1.jpg,10,1,SVR_RBF,LOWO,10,23.269891516391947,-13.269891516391947,13.269891516391947
T10G-2.jpg,10,2,SVR_RBF,LOWO,10,25.595331849522164,-15.595331849522164,15.595331849522164
T10G-3.jpg,10,3,SVR_RBF,LOWO,10,22.226454088195553,-12.226454088195553,12.226454088195553
T10G-4.jpg,10,4,SVR_RBF,LOWO,10,26.180788087970306,-16.180788087970306,16.180788087970306
T10G-5.jpg,10,5,SVR_RBF,LOWO,10,23.046460928455883,-13.046460928455883,13.046460928455883
T20G-1.jpg,20,1,SVR_RBF,LOWO,20,23.110829749455387,-3.1108297494553874,3.1108297494553874
T20G-2.jpg,20,2,SVR_RBF,LOWO,20,20.997651591534275,-0.9976515915342752,0.9976515915342752
T20G-3.jpg,20,3,SVR_RBF,LOWO,20,25.798030487048706,-5.798030487048706,5.798030487048706
T20G-4.jpg,20,4,SVR_RBF,LOWO,20,25.661643740040756,-5.6616437400407555,5.6616437400407555
T20G-5.jpg,20,5,SVR_RBF,LOWO,20,28.23650033074575,-8.236500330745748,8.236500330745748
T30G-1.jpg,30,1,SVR_RBF,LOWO,30,27.99616964050972,2.00383035949028,2.00383035949028
T30G-2.jpg,30,2,SVR_RBF,LOWO,30,26.84566510036095,3.15433489963905,3.15433489963905
T30G-3.jpg,30,3,SVR_RBF,LOWO,30,27.833806887001305,2.1661931129986947,2.1661931129986947
T30G-4.jpg,30,4,SVR_RBF,LOWO,30,23.18348192757811,6.816518072421889,6.816518072421889
T30G-5.jpg,30,5,SVR_RBF,LOWO,30,33.51640710239536,-3.5164071023953625,3.5164071023953625
T40G-1.jpg,40,1,SVR_RBF,LOWO,40,34.423423688249756,5.5765763117502445,5.5765763117502445
T40G-2.jpg,40,2,SVR_RBF,LOWO,40,38.73671749130307,1.263282508696932,1.263282508696932
T40G-3.jpg,40,3,SVR_RBF,LOWO,40,35.94370611785364,4.056293882146363,4.056293882146363
T40G-4.jpg,40,4,SVR_RBF,LOWO,40,38.3171781898165,1.6828218101834977,1.6828218101834977
T40G-5.jpg,40,5,SVR_RBF,LOWO,40,32.570491202130555,7.429508797869445,7.429508797869445
