imagen,gramos,iteracion,thermal_mean,thermal_std,thermal_min,thermal_max,thermal_median,thermal_p10,thermal_p25,thermal_p75,thermal_p90,thermal_iqr,thermal_range,thermal_skew,thermal_kurtosis,thermal_entropy,hot_area_p90,hot_area_p75,cold_area_p10,cold_area_p25,thermal_cv,glcm_contrast_mean,glcm_contrast_std,glcm_dissimilarity_mean,glcm_dissimilarity_std,glcm_homogeneity_mean,glcm_homogeneity_std,glcm_energy_mean,glcm_energy_std,glcm_correlation_mean,glcm_correlation_std,glcm_ASM_mean,glcm_ASM_std,lbp_bin_0,lbp_bin_1,lbp_bin_2,lbp_bin_3,lbp_bin_4,lbp_bin_5,lbp_bin_6,lbp_bin_7,lbp_bin_8,lbp_bin_9,lbp_bin_10,lbp_bin_11,lbp_bin_12,lbp_bin_13,lbp_bin_14,lbp_bin_15,lbp_bin_16,lbp_bin_17,hot_concentration_ratio,cold_concentration_ratio,thermal_activity_index,thermal_dispersion_index,hot_cold_balance_p90_p10,hot_cold_ratio_p90_p10,heterogeneity_index
T0G-1.jpg,0.0,1,0.15075584,0.17195982,0.0,1.0,0.11883046,0.028556027,0.04630459,0.17267847,0.40728864,0.12637389,1.0,2.5205574,8.155095,12.893310151022806,0.1,0.2499942555147059,0.0999885110294117,0.2499885110294117,1.140651,42.26767713380131,38.0904601833548,2.770994042605712,1.4267518402526915,0.5716264281098666,0.0845957894956463,0.1684939650711661,0.0194941733308943,0.9886419113905184,0.0103776597777729,0.0287702390592583,0.0064437763649594,0.005520450367647,0.0032398897058823,0.0063246783088235,0.0087833180147058,0.0104607077205882,0.0209041819852941,0.0404124540441176,0.0942842371323529,0.1214728860294117,0.1274011948529411,0.0640280330882352,0.0636316636029411,0.0256204044117647,0.0234834558823529,0.0261144301470588,0.0195886948529411,0.274465762867647,0.0642635569852941,0.4000091753869351,0.39997240920373234,2.217131292774055,1.6293777587612395,1.1488970588308112e-05,1.0001148028840725,13.191643861022806
T10G-1.jpg,10.0,1,0.6418378,0.32231003,0.0,1.0,0.78275913,0.16637467,0.24596629,0.875402,0.94870883,0.62943566,1.0,-0.7705616,-1.1183704,9.833767151535785,0.0999885110294117,0.2498736213235294,0.0968520220588235,0.2499885110294117,0.50216746,146.0862103104472,129.03548793888754,2.848721509947348,1.5316627952303068,0.6759121880183842,0.0755908259805125,0.313202235232614,0.0063240524478554,0.9890718709147828,0.0096896413703035,0.0981356337940689,0.0039414415805751,0.0031422334558823,0.0026424632352941,0.0044749540441176,0.0065544577205882,0.0066578584558823,0.01396484375,0.0304285386029411,0.0794577205882352,0.1025677849264705,0.1059685202205882,0.0547564338235294,0.0478860294117647,0.01484375,0.0138729319852941,0.0148782169117647,0.01396484375,0.4533777573529411,0.0305606617647058,0.40015631301227367,0.3874258772362938,3.1695217856245135,6.189723717313246,0.0031364889705882,1.032384235043032,10.785512841535784
T10G-2.jpg,10.0,2,0.19962063,0.33165964,0.0,0.99999994,0.0027357123,0.0,0.0,0.26409933,0.8597434,0.26409933,0.99999994,1.4234487,0.3457775,7.70496109172648,0.0999942555147058,0.25,0.0,0.0,1.6614496,313.9175068544335,274.663788287333,6.394734873215128,3.1246707289426863,0.5996485433694924,0.0400535172583445,0.4865575663129386,0.010340152877935,0.9777693196926722,0.0195112977694077,0.2368451840979087,0.0100110687175498,0.0134823069852941,0.0062844669117647,0.0106330422794117,0.0147748161764705,0.0167107077205882,0.0259420955882352,0.0396541819852941,0.0636431525735294,0.0700310202205882,0.057571231617647,0.0327550551470588,0.0230813419117647,0.0148897058823529,0.0117761948529411,0.008938419117647,0.0051413143382352,0.5283260569852941,0.0563648897058823,0.39997700605974296,0.0,2.555424621896011,2.034875062001032,0.0999942555147058,9999425.55147058,8.30072006172648
T10G-3.jpg,10.0,3,0.4676685,0.23060384,0.0,0.99999994,0.35762775,0.31110218,0.3544329,0.5648961,0.93140966,0.2104632,0.99999994,1.1320786,0.36166024,9.242708887586328,0.0999712775735294,0.2499770220588235,0.0998965992647058,0.2495404411764706,0.49309254,632.1209581980431,479.5814469144895,10.541765568256656,4.597577855025599,0.4461368598349495,0.0565683870754828,0.270076176793784,0.0210824241391513,0.9078005821938884,0.0701887738864235,0.0733856098791303,0.0111649862659862,0.0121151194852941,0.0088809742647058,0.0132755055147058,0.0171817555147058,0.0184742647058823,0.0297449448529411,0.0434053308823529,0.0663660386029411,0.0762752757352941,0.10244140625,0.077590762867647,0.0718232996323529,0.0380629595588235,0.0310202205882352,0.0296357996323529,0.0227309283088235,0.2455193014705882,0.0954561121323529,0.39992185182038886,0.40032226756719574,2.131404161479536,1.9452500891498588,7.467830882360027e-05,1.000747455888375,9.683775927586328
T10G-4.jpg,10.0,4,0.2242912,0.1377997,0.0,0.99999994,0.24833371,0.0037002615,0.21379712,0.2869817,0.2894486,0.07318458,0.99999994,1.604524,9.867802,9.403816264126949,0.0944795496323529,0.2498391544117647,0.0999368106617647,0.2499770220588235,0.61437845,67.89324280705243,57.76785440418525,3.2724227819506577,1.600359444414928,0.5466386744382711,0.0871939654979058,0.1835738440633727,0.0201205506284584,0.9723926019022522,0.0234678255733512,0.0341041927817958,0.0072185497377964,0.0096449908088235,0.0067210477941176,0.0108455882352941,0.0154124540441176,0.0161190257352941,0.0299000459558823,0.0475815716911764,0.0807674632352941,0.0862247242647058,0.1031364889705882,0.0626895680147058,0.0644186580882353,0.0322208180147058,0.0264763327205882,0.0216509650735294,0.0158432904411764,0.2805089613970588,0.0898380055147058,0.3781614858294969,0.39978397150602224,1.2958430600518143,0.6882143436872998,-0.005457261029411797,0.9453927892314897,9.614800544126949
T10G-5.jpg,10.0,5,0.27994588,0.1966373,0.0,1.0,0.24407293,0.06134239,0.19477685,0.29788336,0.5923916,0.10310651,1.0,1.5539163,2.690436,13.726608504027627,0.1,0.2499770220588235,0.0999655330882352,0.25,0.70241183,113.83242764363024,95.7750283959653,6.118390620106445,2.8846820296742384,0.3236827122426535,0.0792005832344953,0.0798019398791331,0.0123552614238985,0.9771548292666136,0.0192893949642439,0.0065210020933256,0.0019167319574984,0.01611328125,0.0101734834558823,0.0158318014705882,0.0211626838235294,0.0210420496323529,0.0339269301470588,0.0551642922794117,0.1090877757352941,0.1451631433823529,0.1398035386029411,0.0751034007352941,0.0566176470588235,0.0302332261029411,0.0244312959558823,0.02119140625,0.0145737591911764,0.1250344669117647,0.0853458180147058,0.4000367520823611,0.3998621163584562,2.6991632343890317,1.4153026969866096,3.4466911764799435e-05,1.000344687886449,14.026352314027628
T20G-1.jpg,20.0,1,0.10249519,0.1323134,0.0,1.0,0.08252741,0.040470168,0.08173387,0.08699102,0.118633136,0.005257152,1.0,5.7457566,34.011127,8.63367593140525,0.0998104319852941,0.2497931985294117,0.0999827665441176,0.2496323529411764,1.2909229,72.70983605117867,64.8110783738394,1.7927525080535192,0.942940745007114,0.7338666364076007,0.0658760805244499,0.4323349739101392,0.0217556017989522,0.9670762477077052,0.0296725961718569,0.1873868358755153,0.0185851991066344,0.0023494944852941,0.0015797334558823,0.0033835018382352,0.0055032169117647,0.0060029871323529,0.0117359834558823,0.0246668198529411,0.0700425091911764,0.0859202665441176,0.0905905330882353,0.052004825367647,0.05146484375,0.0190831801470588,0.0168772977941176,0.0226964613970588,0.0212143841911764,0.4876780790441176,0.0272058823529411,0.39957224046602535,0.40052005022953546,1.1423510169823954,0.045388546690138976,-0.00017233455882349757,0.9982762575237402,8.77124648340525
T20G-2.jpg,20.0,2,0.49327746,0.21548633,0.0,0.9999999,0.50434345,0.0914267,0.3808025,0.63136744,0.7244141,0.25056493,0.9999999,-0.38478488,0.07432914,13.068620530373272,0.09990234375,0.2496266084558823,0.0999712775735294,0.2499138327205882,0.4368461,115.0778784672614,102.15776968670664,6.024719469987825,3.0425303249446585,0.3022657103950126,0.0820085232714809,0.0524579096578525,0.0096170083021979,0.98075197211139,0.0171433746060408,0.0028443191343559,0.0009812633927334,0.0115636488970588,0.0068761488970588,0.0123276654411764,0.0170611213235294,0.0198184742647058,0.0379250919117647,0.0688878676470588,0.1291704963235294,0.1653607536764706,0.1580250459558823,0.0828067555147058,0.0516659007352941,0.0261086856617647,0.0199908088235294,0.014114200367647,0.0090475643382352,0.0994140625,0.0698357077205882,0.40020709477205135,0.4000229698572581,2.81610907625279,3.274537988389542,-6.893382352940458e-05,0.9993103637534058,13.534671790373272
T20G-3.jpg,20.0,3,0.25367135,0.18132144,0.0,1.0,0.20984511,0.13923465,0.20338985,0.22586735,0.42346397,0.022477493,1.0,2.744062,8.180403,11.695879102940712,0.0999827665441176,0.2499712775735294,0.0999942555147058,0.1727941176470588,0.7147888,112.07213446799166,93.48000945179646,4.7609113504983815,2.190808967418307,0.4569933078039332,0.0842036818011155,0.1423768128612865,0.0198334911026411,0.972966051092555,0.0228532902268697,0.0206645242098563,0.0055607147484961,0.0244772518382352,0.01455078125,0.0229262408088235,0.0279526654411764,0.0251091452205882,0.0382467830882352,0.0534524356617647,0.0835535386029411,0.0857536764705882,0.0845645680147058,0.05107421875,0.0464958639705882,0.0271426930147058,0.0271714154411764,0.0207146139705882,0.011575137867647,0.2264073988970588,0.1288315716911764,0.3999770034176726,0.5786901260843157,2.1207136410111183,0.2628940406651961,-1.148897058819709e-05,0.9998850036996721,11.899678035940711
T20G-4.jpg,20.0,4,0.8637949,0.1238877,0.0,1.0,0.8813553,0.8813553,0.8813553,0.88274574,0.88985187,0.0013904572,1.0,-5.2690926,29.979187,5.523006738736184,0.0995806525735294,0.2493221507352941,0.0762178308823529,0.0762178308823529,0.14342259,153.84635927667077,117.65906582054718,2.859800005411093,1.2804823242129593,0.799837343006964,0.0418213945111829,0.6124901470645682,0.0231589506129505,0.9229202784936892,0.0588804187598325,0.3756805172446695,0.0281312743786813,0.0075252757352941,0.0053136488970588,0.010403262867647,0.0112189797794117,0.0111730238970588,0.0138959099264705,0.0268439797794117,0.0365406709558823,0.0301125919117647,0.0423943014705882,0.022414981617647,0.0265625,0.0092428768382352,0.0089671415441176,0.0075310202205882,0.0045668658088235,0.670950137867647,0.0543428308823529,0.3994055413279303,0.9999998687971231,0.6842326019465268,0.007679504485524245,0.023362821691176497,1.3065268107927446,5.648284895936184
