imagen,gramos,iteracion,modelo,validacion,predicho,error,error_abs
T0G-1.jpg,0.0,1,Ridge,LOO,39.02369388176337,-39.02369388176337,39.02369388176337
T10G-1.jpg,10.0,1,Ridge,LOO,32.07072969985547,-22.07072969985547,22.07072969985547
T10G-2.jpg,10.0,2,Ridge,LOO,36.8573573895329,-26.8573573895329,26.8573573895329
T10G-3.jpg,10.0,3,Ridge,LOO,36.782953734748205,-26.782953734748205,26.782953734748205
T10G-4.jpg,10.0,4,Ridge,LOO,28.82041933058915,-18.82041933058915,18.82041933058915
T10G-5.jpg,10.0,5,Ridge,LOO,40.78485339594739,-30.784853395947387,30.784853395947387
T20G-1.jpg,20.0,1,Ridge,LOO,23.191979961577847,-3.1919799615778466,3.1919799615778466
T20G-2.jpg,20.0,2,Ridge,LOO,12.562284414627946,7.437715585372054,7.437715585372054
T20G-3.jpg,20.0,3,Ridge,LOO,45.089709684764784,-25.089709684764784,25.089709684764784
T20G-4.jpg,20.0,4,Ridge,LOO,9.566258419955393,10.433741580044607,10.433741580044607
T20G-5.jpg,20.0,5,Ridge,LOO,50.80070092505453,-30.800700925054528,30.800700925054528
T30G-1.jpg,30.0,1,Ridge,LOO,18.655101554205906,11.344898445794094,11.344898445794094
T30G-2.jpg,30.0,2,Ridge,LOO,17.909775361415285,12.090224638584715,12.090224638584715
T30G-3.jpg,30.0,3,Ridge,LOO,40.23745461300071,-10.237454613000708,10.237454613000708
T30G-4.jpg,30.0,4,Ridge,LOO,32.48301674116598,-2.483016741165983,2.483016741165983
T30G-5.jpg,30.0,5,Ridge,LOO,33.8537418895389,-3.8537418895389024,3.8537418895389024
T40G-1.jpg,40.0,1,Ridge,LOO,24.729006755493607,15.270993244506393,15.270993244506393
T40G-2.jpg,40.0,2,Ridge,LOO,34.34399062211271,5.656009377887287,5.656009377887287
T40G-3.jpg,40.0,3,Ridge,LOO,28.772376486459894,11.227623513540106,11.227623513540106
T40G-4.jpg,40.0,4,Ridge,LOO,35.30012243634793,4.699877563652073,4.699877563652073
