feature,importance
LBP_Patron_4,0.47639623119137425
LBP_Patron_5,0.16023597659849237
LBP_Patron_3,0.04637897311462336
LBP_Patron_18,0.042458164081857104
LBP_Patron_0,0.014193168135331889
GLCM_homogeneity_std,0.013584789172246554
Pixeles_Percentil_95,0.012803251456718739
Densidad_Percentil_50,0.01152667326187682
Densidad_Percentil_95,0.011509473661420126
Pixeles_Percentil_80,0.010066405426824432
LBP_Patron_6,0.009813112539342216
LBP_Patron_17,0.009573599711512372
Densidad_Percentil_80,0.009571556339174427
Pixeles_Percentil_50,0.008856272406506455
LBP_Patron_19,0.006606823382571642
LBP_Patron_16,0.006221982691166749
Densidad_Percentil_75,0.006011078333795066
LBP_Patron_14,0.005591829927692068
LBP_Patron_15,0.00543643651750251
Densidad_Pct_180,0.005294423866648151
gray_iqr,0.0052234693482728235
Pixeles_Percentil_75,0.004792130585239494
LBP_Patron_13,0.004260362822612029
Pixeles_Percentil_90,0.004086237939048125
LBP_Patron_22,0.0040524951478597224
LBP_Patron_23,0.0039760725751780595
Densidad_Percentil_70,0.0038526435605579445
gray_min,0.0035604987064635912
LBP_Patron_25,0.0035070977274305197
gray_std,0.0034699786447924563
Pixeles_Conteo_180,0.0033843897210180445
Densidad_Percentil_90,0.003378557185123679
LBP_Patron_12,0.0033420352656394915
LBP_Patron_10,0.0033347151538888516
Pixeles_Percentil_60,0.0032642493815014813
LBP_Patron_1,0.003147563941632926
GLCM_correlation_mean,0.003143951615233616
Pixeles_Percentil_70,0.003010349170987492
Densidad_Percentil_60,0.0029095163608414466
Pixeles_Percentil_85,0.002806957709790862
LBP_Patron_8,0.0027627802501555636
gray_max,0.002713402253225811
LBP_Patron_21,0.0025856563662503508
Densidad_Pct_100,0.0025830463452199116
Densidad_Pct_150,0.0024419151384545866
GLCM_contrast_std,0.002419913046932225
LBP_Patron_7,0.00228445552251315
GLCM_dissimilarity_mean,0.002163345846117336
gray_range,0.0021435493251158173
Pixeles_Conteo_100,0.0019965200014139305
GLCM_correlation_std,0.00196304999935945
GLCM_ASM_mean,0.0018925487852427863
GLCM_homogeneity_mean,0.0017974587102572727
Densidad_Percentil_85,0.0017896279055288772
LBP_Patron_11,0.0017335769092849031
Pixeles_Conteo_130,0.0017007940453882668
Pixeles_Conteo_150,0.001670472758816582
LBP_Patron_24,0.001620990166278348
GLCM_energy_std,0.0015944936043483864
GLCM_contrast_mean,0.001530335658310544
LBP_Patron_2,0.0015192769499890563
GLCM_energy_mean,0.0014413675651867108
Densidad_Pct_130,0.0013884284312802705
gray_p25,0.001333710732046241
GLCM_dissimilarity_std,0.001300174568174269
GLCM_ASM_std,0.0012910054534180195
gray_p10,0.000981402672755079
LBP_Patron_20,0.0008120657826157398
gray_mean,0.0007713213443417372
gray_median,0.0006176059711211411
gray_p75,0.0005919066132293997
LBP_Patron_9,0.0005272084733325363
gray_p90,0.00040118733611589733
Pixeles_Conteo_80,0.00038502041270038355
Densidad_Pct_80,0.0003460882981361041
Pixeles_Conteo_50,0.00019490263194260098
Densidad_Pct_50,7.589974561074277e-05
Densidad_Pct_200,0.0
Pixeles_Conteo_200,0.0
