Archivo,Gramos_Reales,Iteracion,Prediccion,Error,Error_Abs
T0G-1.jpg,0.0,1,21.796309523809523,-21.796309523809523,21.796309523809523
T10G-1.jpg,10.0,1,16.118660714285717,-6.118660714285717,6.118660714285717
T10G-2.jpg,10.0,2,27.968095238095238,-17.968095238095238,17.968095238095238
T10G-3.jpg,10.0,3,13.330089285714294,-3.330089285714294,3.330089285714294
T10G-4.jpg,10.0,4,20.01229166666667,-10.01229166666667,10.01229166666667
T10G-5.jpg,10.0,5,19.738958333333336,-9.738958333333336,9.738958333333336
T20G-1.jpg,20.0,1,14.906755952380948,5.093244047619052,5.093244047619052
T20G-2.jpg,20.0,2,16.27595238095238,3.724047619047621,3.724047619047621
T20G-3.jpg,20.0,3,41.431805555555556,-21.431805555555556,21.431805555555556
T20G-4.jpg,20.0,4,12.284494047619049,7.715505952380951,7.715505952380951
T20G-5.jpg,20.0,5,24.55458333333334,-4.5545833333333405,4.5545833333333405
T30G-1.jpg,30.0,1,33.14354166666667,-3.143541666666671,3.143541666666671
T30G-2.jpg,30.0,2,32.023779761904756,-2.0237797619047555,2.0237797619047555
T30G-3.jpg,30.0,3,34.425178571428575,-4.4251785714285745,4.4251785714285745
T30G-4.jpg,30.0,4,35.37065476190477,-5.370654761904767,5.370654761904767
T30G-5.jpg,30.0,5,45.45684523809523,-15.456845238095227,15.456845238095227
T40G-1.jpg,40.0,1,37.79651785714286,2.2034821428571405,2.2034821428571405
T40G-2.jpg,40.0,2,42.22285714285714,-2.222857142857137,2.222857142857137
T40G-3.jpg,40.0,3,35.48925595238095,4.510744047619049,4.510744047619049
T40G-4.jpg,40.0,4,41.291309523809524,-1.2913095238095238,1.2913095238095238
T40G-5.jpg,40.0,5,35.497142857142855,4.502857142857145,4.502857142857145
T50G-1.jpg,50.0,1,36.30863095238095,13.691369047619048,13.691369047619048
T50G-2.jpg,50.0,2,37.70827380952381,12.29172619047619,12.29172619047619
T50G-3.jpg,50.0,3,39.534523809523805,10.465476190476195,10.465476190476195
T50G-4.jpg,50.0,4,16.591904761904765,33.408095238095235,33.408095238095235
T50G-5.jpg,50.0,5,31.192172619047618,18.807827380952382,18.807827380952382
