Archivo,Gramos_Reales,Iteracion,Grupo_Excluido,Prediccion,Error,Error_Abs
T0G-1.jpg,0.0,1,0.0,21.796309523809523,-21.796309523809523,21.796309523809523
T10G-1.jpg,10.0,1,10.0,21.708095238095243,-11.708095238095243,11.708095238095243
T10G-2.jpg,10.0,2,10.0,27.33467261904762,-17.33467261904762,17.33467261904762
T10G-3.jpg,10.0,3,10.0,22.333303571428573,-12.333303571428573,12.333303571428573
T10G-4.jpg,10.0,4,10.0,24.09404761904763,-14.094047619047629,14.094047619047629
T10G-5.jpg,10.0,5,10.0,23.473571428571436,-13.473571428571436,13.473571428571436
T20G-1.jpg,20.0,1,20.0,11.590863095238097,8.409136904761903,8.409136904761903
T20G-2.jpg,20.0,2,20.0,13.668333333333333,6.331666666666667,6.331666666666667
T20G-3.jpg,20.0,3,20.0,35.75747023809524,-15.757470238095237,15.757470238095237
T20G-4.jpg,20.0,4,20.0,9.698541666666666,10.301458333333334,10.301458333333334
T20G-5.jpg,20.0,5,20.0,21.974761904761905,-1.9747619047619054,1.9747619047619054
T30G-1.jpg,30.0,1,30.0,36.42220238095238,-6.422202380952378,6.422202380952378
T30G-2.jpg,30.0,2,30.0,35.030178571428564,-5.030178571428564,5.030178571428564
T30G-3.jpg,30.0,3,30.0,36.68830357142856,-6.688303571428563,6.688303571428563
T30G-4.jpg,30.0,4,30.0,37.91458333333333,-7.914583333333333,7.914583333333333
T30G-5.jpg,30.0,5,30.0,45.89916666666666,-15.899166666666659,15.899166666666659
T40G-1.jpg,40.0,1,40.0,35.75767857142857,4.2423214285714295,4.2423214285714295
T40G-2.jpg,40.0,2,40.0,40.88309523809524,-0.8830952380952368,0.8830952380952368
T40G-3.jpg,40.0,3,40.0,31.15979166666666,8.84020833333334,8.84020833333334
T40G-4.jpg,40.0,4,40.0,38.788154761904764,1.2118452380952363,1.2118452380952363
T40G-5.jpg,40.0,5,40.0,33.15922619047618,6.840773809523817,6.840773809523817
T50G-1.jpg,50.0,1,50.0,33.42267857142858,16.577321428571423,16.577321428571423
T50G-2.jpg,50.0,2,50.0,36.966845238095246,13.033154761904754,13.033154761904754
T50G-3.jpg,50.0,3,50.0,37.42642857142857,12.573571428571427,12.573571428571427
T50G-4.jpg,50.0,4,50.0,15.10077380952381,34.89922619047619,34.89922619047619
T50G-5.jpg,50.0,5,50.0,27.313958333333336,22.686041666666664,22.686041666666664
