modelo,MAE,RMSE,R2
Experimento B RF Zonas Frías - LOO,9.866583867521369,12.267002366341883,0.3329571238705178
Experimento B RF Zonas Frías - LOWO,12.161650641025641,14.155396838207544,0.11177917690843275
