Archivo,Gramos_Reales,Iteracion,Prediccion,Error,Error_Abs
T0G-1.jpg,0.0,1,18.255625,-18.255625,18.255625
T10G-1.jpg,10.0,1,19.28488095238095,-9.284880952380949,9.284880952380949
T10G-2.jpg,10.0,2,14.449404761904765,-4.4494047619047645,4.4494047619047645
T10G-3.jpg,10.0,3,15.712946428571431,-5.712946428571431,5.712946428571431
T10G-4.jpg,10.0,4,25.7510615079365,-15.751061507936502,15.751061507936502
T10G-5.jpg,10.0,5,17.312529761904763,-7.312529761904763,7.312529761904763
T20G-1.jpg,20.0,1,10.836041666666667,9.163958333333333,9.163958333333333
T20G-2.jpg,20.0,2,18.913809523809523,1.0861904761904775,1.0861904761904775
T20G-3.jpg,20.0,3,42.4903869047619,-22.4903869047619,22.4903869047619
T20G-4.jpg,20.0,4,9.899136904761903,10.100863095238097,10.100863095238097
T20G-5.jpg,20.0,5,20.68639880952381,-0.6863988095238085,0.6863988095238085
T30G-1.jpg,30.0,1,30.421785714285715,-0.4217857142857149,0.4217857142857149
T30G-2.jpg,30.0,2,39.307083333333324,-9.307083333333324,9.307083333333324
T30G-3.jpg,30.0,3,39.514761904761905,-9.514761904761905,9.514761904761905
T30G-4.jpg,30.0,4,13.711071428571426,16.288928571428574,16.288928571428574
T30G-5.jpg,30.0,5,44.28750000000001,-14.287500000000009,14.287500000000009
T40G-1.jpg,40.0,1,39.96357142857142,0.036428571428579914,0.036428571428579914
T40G-2.jpg,40.0,2,37.932857142857145,2.067142857142855,2.067142857142855
T40G-3.jpg,40.0,3,32.74684523809524,7.25315476190476,7.25315476190476
T40G-4.jpg,40.0,4,37.797916666666666,2.2020833333333343,2.2020833333333343
T40G-5.jpg,40.0,5,41.68458333333333,-1.6845833333333289,1.6845833333333289
T50G-1.jpg,50.0,1,38.09785714285714,11.902142857142863,11.902142857142863
T50G-2.jpg,50.0,2,25.862559523809523,24.137440476190477,24.137440476190477
T50G-3.jpg,50.0,3,36.029107142857136,13.970892857142864,13.970892857142864
T50G-4.jpg,50.0,4,25.52907738095238,24.47092261904762,24.47092261904762
T50G-5.jpg,50.0,5,35.307916666666664,14.692083333333336,14.692083333333336
