feature,importance
LBP_Cold_p25_Patron_14,0.000540706962452854
cold_mean_p20,0.000540469110734042
LBP_Cold_p25_Patron_22,0.000531543431410433
LBP_Cold_p30_Patron_18,0.0005251978604765239
cold_mean_p35,0.0005161307948624215
LBP_Cold_p30_Patron_19,0.0005103555167352763
LBP_Cold_p35_Patron_3,0.0004951413902042003
LBP_Cold_p40_Patron_1,0.00048163512137512193
cold_max_p20,0.00046094709983646827
gray_std,0.00045621712036494173
LBP_Cold_p25_Patron_21,0.00045404867398804466
cold_max_p35,0.0004300805434880972
LBP_Cold_p35_Patron_18,0.00041181211778796895
LBP_Cold_p30_Patron_21,0.00041173301094818703
LBP_Cold_p35_Patron_1,0.00040822509634501315
Pixeles_Conteo_150,0.0004016772839403263
Pixeles_Conteo_130,0.0003943667119099732
LBP_Cold_p35_Patron_21,0.00038810009244912355
LBP_Cold_p35_Patron_8,0.00038153268945826876
cold_max_p25,0.0003428405725062504
cold_median_p20,0.00032261565132617496
LBP_Cold_p40_Patron_14,0.0003086202759941299
gray_p25,0.0002903358579368614
LBP_Cold_p25_Patron_19,0.00028999413304337066
cold_mean_p40,0.0002712432348642552
Pixeles_Percentil_70,0.00023222869422130277
gray_mean,0.0002288351915358263
gray_p90,0.00022733160621761668
LBP_Cold_p35_Patron_23,0.00022659765475874403
cold_median_p25,0.0002057281519686265
cold_median_p40,0.0001751716829855839
LBP_Cold_p25_Patron_18,0.00017337054209071742
gray_p10,0.00014220948653354302
Pixeles_Conteo_50,0.00013956358517981245
LBP_Cold_p25_Patron_20,0.00013112106611689895
gray_p75,0.00011186262782624942
cold_median_p30,0.00011081944439578314
LBP_Cold_p30_Patron_22,0.00011008271081022227
Pixeles_Conteo_80,5.064058171745158e-05
gray_range,0.0
Densidad_Pct_50,0.0
Pixeles_Conteo_200,0.0
Densidad_Pct_200,0.0
