imagen,gramos,iteracion,ocupacion_real_pct,grupo_excluido_pct,ocupacion_predicha_cruda_pct,ocupacion_predicha_pct,gramos_predichos_equiv,error_pct,error_abs_pct,error_g_equiv,error_abs_g_equiv
T0G-1.jpg,0.0,1,0.0,0.0,70.48563229847068,80,40.0,-80.0,80.0,-40.0,40.0
T10G-1.jpg,10.0,1,20.0,20.0,57.645125389099086,60,30.0,-40.0,40.0,-20.0,20.0
T10G-2.jpg,10.0,2,20.0,20.0,68.62009769934579,60,30.0,-40.0,40.0,-20.0,20.0
T10G-3.jpg,10.0,3,20.0,20.0,73.26930705153318,80,40.0,-60.0,60.0,-30.0,30.0
T10G-4.jpg,10.0,4,20.0,20.0,70.67977785482546,80,40.0,-60.0,60.0,-30.0,30.0
T10G-5.jpg,10.0,5,20.0,20.0,74.63626220078542,80,40.0,-60.0,60.0,-30.0,30.0
T20G-1.jpg,20.0,1,40.0,40.0,57.03739869185815,60,30.0,-20.0,20.0,-10.0,10.0
T20G-2.jpg,20.0,2,40.0,40.0,67.78968347708121,60,30.0,-20.0,20.0,-10.0,10.0
T20G-3.jpg,20.0,3,40.0,40.0,64.82117788734328,60,30.0,-20.0,20.0,-10.0,10.0
T20G-4.jpg,20.0,4,40.0,40.0,58.56366026225225,60,30.0,-20.0,20.0,-10.0,10.0
T20G-5.jpg,20.0,5,40.0,40.0,56.06677773641312,60,30.0,-20.0,20.0,-10.0,10.0
T30G-1.jpg,30.0,1,60.0,60.0,52.81665976490508,60,30.0,0.0,0.0,0.0,0.0
T30G-2.jpg,30.0,2,60.0,60.0,49.68012891182698,40,20.0,20.0,20.0,10.0,10.0
T30G-3.jpg,30.0,3,60.0,60.0,64.21137920529108,60,30.0,0.0,0.0,0.0,0.0
T30G-4.jpg,30.0,4,60.0,60.0,67.40751410497346,60,30.0,0.0,0.0,0.0,0.0
T30G-5.jpg,30.0,5,60.0,60.0,61.53543135600319,60,30.0,0.0,0.0,0.0,0.0
T40G-1.jpg,40.0,1,80.0,80.0,47.269134085710256,40,20.0,40.0,40.0,20.0,20.0
T40G-2.jpg,40.0,2,80.0,80.0,55.368744676997665,60,30.0,20.0,20.0,10.0,10.0
T40G-3.jpg,40.0,3,80.0,80.0,49.031773539026425,40,20.0,40.0,40.0,20.0,20.0
T40G-4.jpg,40.0,4,80.0,80.0,52.139208398416145,60,30.0,20.0,20.0,10.0,10.0
T40G-5.jpg,40.0,5,80.0,80.0,43.89160257113502,40,20.0,40.0,40.0,20.0,20.0
T50G-1.jpg,50.0,1,100.0,100.0,49.10840350642886,40,20.0,60.0,60.0,30.0,30.0
T50G-2.jpg,50.0,2,100.0,100.0,48.95643502810816,40,20.0,60.0,60.0,30.0,30.0
T50G-3.jpg,50.0,3,100.0,100.0,49.69082358337803,40,20.0,60.0,60.0,30.0,30.0
T50G-4.jpg,50.0,4,100.0,100.0,44.61908197274015,40,20.0,60.0,60.0,30.0,30.0
T50G-5.jpg,50.0,5,100.0,100.0,46.252054759919325,40,20.0,60.0,60.0,30.0,30.0
