imagen,gramos,iteracion,grupo_excluido,predicho_crudo,predicho,error,error_abs
T0G-1.jpg,0.0,1,0.0,35.24281614923534,40,-40.0,40.0
T10G-1.jpg,10.0,1,10.0,28.822562694549543,30,-20.0,20.0
T10G-2.jpg,10.0,2,10.0,34.310048849672896,30,-20.0,20.0
T10G-3.jpg,10.0,3,10.0,36.63465352576659,40,-30.0,30.0
T10G-4.jpg,10.0,4,10.0,35.33988892741273,40,-30.0,30.0
T10G-5.jpg,10.0,5,10.0,37.31813110039271,40,-30.0,30.0
T20G-1.jpg,20.0,1,20.0,28.518699345929075,30,-10.0,10.0
T20G-2.jpg,20.0,2,20.0,33.894841738540606,30,-10.0,10.0
T20G-3.jpg,20.0,3,20.0,32.41058894367164,30,-10.0,10.0
T20G-4.jpg,20.0,4,20.0,29.281830131126124,30,-10.0,10.0
T20G-5.jpg,20.0,5,20.0,28.03338886820656,30,-10.0,10.0
T30G-1.jpg,30.0,1,30.0,26.40832988245254,30,0.0,0.0
T30G-2.jpg,30.0,2,30.0,24.84006445591349,20,10.0,10.0
T30G-3.jpg,30.0,3,30.0,32.10568960264554,30,0.0,0.0
T30G-4.jpg,30.0,4,30.0,33.70375705248673,30,0.0,0.0
T30G-5.jpg,30.0,5,30.0,30.767715678001593,30,0.0,0.0
T40G-1.jpg,40.0,1,40.0,23.634567042855128,20,20.0,20.0
T40G-2.jpg,40.0,2,40.0,27.684372338498832,30,10.0,10.0
T40G-3.jpg,40.0,3,40.0,24.515886769513212,20,20.0,20.0
T40G-4.jpg,40.0,4,40.0,26.069604199208072,30,10.0,10.0
T40G-5.jpg,40.0,5,40.0,21.94580128556751,20,20.0,20.0
T50G-1.jpg,50.0,1,50.0,24.55420175321443,20,30.0,30.0
T50G-2.jpg,50.0,2,50.0,24.47821751405408,20,30.0,30.0
T50G-3.jpg,50.0,3,50.0,24.845411791689013,20,30.0,30.0
T50G-4.jpg,50.0,4,50.0,22.309540986370074,20,30.0,30.0
T50G-5.jpg,50.0,5,50.0,23.126027379959663,20,30.0,30.0
