imagen,gramos,iteracion,thermal_mean,thermal_std,thermal_min,thermal_max,thermal_median,thermal_p10,thermal_p25,thermal_p75,thermal_p90,thermal_iqr,thermal_range,thermal_skew,thermal_kurtosis,thermal_entropy,hot_area_p90,hot_area_p75,cold_area_p10,cold_area_p25,thermal_cv,glcm_contrast_mean,glcm_contrast_std,glcm_dissimilarity_mean,glcm_dissimilarity_std,glcm_homogeneity_mean,glcm_homogeneity_std,glcm_energy_mean,glcm_energy_std,glcm_correlation_mean,glcm_correlation_std,glcm_ASM_mean,glcm_ASM_std,lbp_bin_0,lbp_bin_1,lbp_bin_2,lbp_bin_3,lbp_bin_4,lbp_bin_5,lbp_bin_6,lbp_bin_7,lbp_bin_8,lbp_bin_9,lbp_bin_10,lbp_bin_11,lbp_bin_12,lbp_bin_13,lbp_bin_14,lbp_bin_15,lbp_bin_16,lbp_bin_17
T0G-1.jpg,0.0,1,0.15075584,0.17195982,0.0,1.0,0.11883046,0.028556027,0.04630459,0.17267847,0.40728864,0.12637389,1.0,2.5205574,8.155095,12.893310151022806,0.1,0.2499942555147059,0.09998851102941177,0.24998851102941178,1.140651,42.26767713380131,38.0904601833548,2.7709940426057114,1.4267518402526917,0.5716264281098666,0.08459578949564633,0.16849396507116612,0.019494173330894312,0.9886419113905185,0.010377659777772956,0.0287702390592583,0.006443776364959448,0.005520450367647059,0.003239889705882353,0.0063246783088235295,0.008783318014705882,0.010460707720588235,0.020904181985294118,0.04041245404411765,0.09428423713235294,0.12147288602941177,0.12740119485294119,0.06402803308823529,0.06363166360294117,0.025620404411764705,0.02348345588235294,0.026114430147058824,0.019588694852941176,0.27446576286764707,0.06426355698529412
T10G-1.jpg,10.0,1,0.6418378,0.32231003,0.0,1.0,0.78275913,0.16637467,0.24596629,0.875402,0.94870883,0.62943566,1.0,-0.7705616,-1.1183704,9.833767151535785,0.09998851102941177,0.24987362132352942,0.09685202205882353,0.24998851102941178,0.50216746,146.0862103104472,129.03548793888754,2.8487215099473477,1.5316627952303068,0.6759121880183842,0.07559082598051257,0.31320223523261403,0.006324052447855458,0.9890718709147827,0.009689641370303504,0.09813563379406891,0.003941441580575148,0.003142233455882353,0.002642463235294118,0.004474954044117647,0.006554457720588235,0.006657858455882353,0.01396484375,0.030428538602941178,0.07945772058823529,0.10256778492647059,0.10596852022058824,0.05475643382352941,0.04788602941176471,0.01484375,0.013872931985294117,0.014878216911764705,0.01396484375,0.45337775735294117,0.03056066176470588
T10G-2.jpg,10.0,2,0.19962063,0.33165964,0.0,0.99999994,0.0027357123,0.0,0.0,0.26409933,0.8597434,0.26409933,0.99999994,1.4234487,0.3457775,7.70496109172648,0.09999425551470588,0.25,0.0,0.0,1.6614496,313.9175068544335,274.663788287333,6.394734873215128,3.1246707289426863,0.5996485433694924,0.04005351725834457,0.4865575663129386,0.010340152877935091,0.9777693196926722,0.019511297769407708,0.23684518409790875,0.01001106871754985,0.013482306985294118,0.006284466911764706,0.010633042279411765,0.014774816176470588,0.016710707720588237,0.025942095588235296,0.03965418198529412,0.06364315257352941,0.07003102022058824,0.05757123161764706,0.03275505514705882,0.023081341911764707,0.01488970588235294,0.011776194852941176,0.008938419117647058,0.005141314338235294,0.5283260569852941,0.056364889705882354
T10G-3.jpg,10.0,3,0.4676685,0.23060384,0.0,0.99999994,0.35762775,0.31110218,0.3544329,0.5648961,0.93140966,0.2104632,0.99999994,1.1320786,0.36166024,9.242708887586328,0.09997127757352942,0.24997702205882352,0.09989659926470588,0.2495404411764706,0.49309254,632.1209581980431,479.58144691448945,10.541765568256656,4.597577855025599,0.44613685983494955,0.05656838707548286,0.270076176793784,0.021082424139151328,0.9078005821938883,0.07018877388642354,0.07338560987913036,0.011164986265986223,0.012115119485294118,0.008880974264705882,0.013275505514705882,0.017181755514705882,0.018474264705882353,0.029744944852941175,0.04340533088235294,0.06636603860294117,0.07627527573529412,0.10244140625,0.07759076286764706,0.07182329963235294,0.03806295955882353,0.031020220588235295,0.02963579963235294,0.02273092830882353,0.24551930147058823,0.09545611213235294
T10G-4.jpg,10.0,4,0.2242912,0.1377997,0.0,0.99999994,0.24833371,0.0037002615,0.21379712,0.2869817,0.2894486,0.07318458,0.99999994,1.604524,9.867802,9.403816264126949,0.09447954963235294,0.2498391544117647,0.0999368106617647,0.24997702205882352,0.61437845,67.89324280705243,57.76785440418525,3.2724227819506577,1.600359444414928,0.5466386744382711,0.0871939654979058,0.18357384406337274,0.02012055062845842,0.9723926019022522,0.023467825573351208,0.03410419278179585,0.007218549737796406,0.00964499080882353,0.0067210477941176475,0.010845588235294117,0.015412454044117648,0.01611902573529412,0.029900045955882353,0.04758157169117647,0.08076746323529412,0.08622472426470588,0.10313648897058823,0.06268956801470588,0.0644186580882353,0.03222081801470588,0.026476332720588237,0.021650965073529413,0.01584329044117647,0.28050896139705883,0.08983800551470589
T10G-5.jpg,10.0,5,0.27994588,0.1966373,0.0,1.0,0.24407293,0.06134239,0.19477685,0.29788336,0.5923916,0.10310651,1.0,1.5539163,2.690436,13.726608504027627,0.1,0.24997702205882352,0.09996553308823529,0.25,0.70241183,113.83242764363024,95.7750283959653,6.118390620106445,2.8846820296742384,0.32368271224265355,0.07920058323449533,0.0798019398791331,0.012355261423898577,0.9771548292666136,0.01928939496424395,0.006521002093325648,0.0019167319574984203,0.01611328125,0.010173483455882353,0.015831801470588235,0.021162683823529413,0.02104204963235294,0.033926930147058824,0.05516429227941176,0.10908777573529412,0.14516314338235295,0.13980353860294117,0.07510340073529412,0.05661764705882353,0.030233226102941175,0.024431295955882355,0.02119140625,0.01457375919117647,0.1250344669117647,0.08534581801470588
T20G-1.jpg,20.0,1,0.10249519,0.1323134,0.0,1.0,0.08252741,0.040470168,0.08173387,0.08699102,0.118633136,0.005257152,1.0,5.7457566,34.011127,8.63367593140525,0.09981043198529412,0.24979319852941176,0.09998276654411764,0.24963235294117647,1.2909229,72.70983605117867,64.8110783738394,1.7927525080535192,0.9429407450071139,0.7338666364076007,0.0658760805244499,0.43233497391013925,0.02175560179895225,0.9670762477077052,0.02967259617185697,0.18738683587551533,0.018585199106634493,0.0023494944852941175,0.001579733455882353,0.0033835018382352942,0.005503216911764706,0.0060029871323529415,0.011735983455882353,0.024666819852941176,0.07004250919117647,0.08592026654411765,0.0905905330882353,0.052004825367647056,0.05146484375,0.019083180147058825,0.016877297794117646,0.022696461397058824,0.02121438419117647,0.48767807904411764,0.027205882352941177
T20G-2.jpg,20.0,2,0.49327746,0.21548633,0.0,0.9999999,0.50434345,0.0914267,0.3808025,0.63136744,0.7244141,0.25056493,0.9999999,-0.38478488,0.07432914,13.068620530373272,0.09990234375,0.24962660845588236,0.09997127757352942,0.24991383272058823,0.4368461,115.07787846726141,102.15776968670663,6.024719469987825,3.0425303249446585,0.3022657103950126,0.0820085232714809,0.052457909657852575,0.009617008302197931,0.9807519721113901,0.01714337460604082,0.002844319134355967,0.000981263392733487,0.011563648897058824,0.006876148897058823,0.01232766544117647,0.01706112132352941,0.01981847426470588,0.037925091911764706,0.06888786764705883,0.12917049632352942,0.1653607536764706,0.15802504595588235,0.08280675551470588,0.05166590073529412,0.026108685661764705,0.01999080882352941,0.014114200367647059,0.009047564338235295,0.0994140625,0.06983570772058824
T20G-3.jpg,20.0,3,0.25367135,0.18132144,0.0,1.0,0.20984511,0.13923465,0.20338985,0.22586735,0.42346397,0.022477493,1.0,2.744062,8.180403,11.695879102940713,0.09998276654411764,0.2499712775735294,0.09999425551470588,0.17279411764705882,0.7147888,112.07213446799166,93.48000945179646,4.7609113504983815,2.190808967418307,0.4569933078039332,0.08420368180111557,0.14237681286128653,0.019833491102641113,0.972966051092555,0.022853290226869768,0.020664524209856355,0.005560714748496136,0.024477251838235296,0.01455078125,0.02292624080882353,0.027952665441176472,0.025109145220588235,0.038246783088235294,0.053452435661764705,0.08355353860294118,0.08575367647058824,0.08456456801470588,0.05107421875,0.04649586397058823,0.02714269301470588,0.02717141544117647,0.020714613970588235,0.01157513786764706,0.22640739889705883,0.12883157169117648
T20G-4.jpg,20.0,4,0.8637949,0.1238877,0.0,1.0,0.8813553,0.8813553,0.8813553,0.88274574,0.88985187,0.0013904572,1.0,-5.2690926,29.979187,5.523006738736184,0.09958065257352941,0.24932215073529412,0.07621783088235294,0.07621783088235294,0.14342259,153.84635927667077,117.65906582054718,2.8598000054110932,1.2804823242129593,0.799837343006964,0.041821394511182976,0.6124901470645682,0.023158950612950518,0.9229202784936891,0.05888041875983257,0.37568051724466955,0.02813127437868132,0.007525275735294118,0.005313648897058824,0.010403262867647058,0.011218979779411765,0.011173023897058824,0.013895909926470587,0.026843979779411765,0.03654067095588235,0.030112591911764706,0.04239430147058824,0.02241498161764706,0.0265625,0.009242876838235294,0.008967141544117646,0.007531020220588235,0.00456686580882353,0.670950137867647,0.05434283088235294
