imagen,gramos,iteracion,predicho_crudo,predicho,error,error_abs
T0G-1.jpg,0.0,1,35.24281614923534,40,-40.0,40.0
T10G-1.jpg,10.0,1,28.29790977325193,30,-20.0,20.0
T10G-2.jpg,10.0,2,30.505224382248386,30,-20.0,20.0
T10G-3.jpg,10.0,3,31.25746932891046,30,-20.0,20.0
T10G-4.jpg,10.0,4,31.29298879343846,30,-20.0,20.0
T10G-5.jpg,10.0,5,34.67299054733287,30,-20.0,20.0
T20G-1.jpg,20.0,1,26.407313962805564,30,-10.0,10.0
T20G-2.jpg,20.0,2,32.193182364163434,30,-10.0,10.0
T20G-3.jpg,20.0,3,33.83725816753734,30,-10.0,10.0
T20G-4.jpg,20.0,4,25.669767751436815,30,-10.0,10.0
T20G-5.jpg,20.0,5,25.76494584509979,30,-10.0,10.0
T30G-1.jpg,30.0,1,26.556762820323083,30,0.0,0.0
T30G-2.jpg,30.0,2,25.244696404759576,30,0.0,0.0
T30G-3.jpg,30.0,3,32.33472392448459,30,0.0,0.0
T30G-4.jpg,30.0,4,33.9023242057298,30,0.0,0.0
T30G-5.jpg,30.0,5,31.162087411387233,30,0.0,0.0
T40G-1.jpg,40.0,1,28.020882178917837,30,10.0,10.0
T40G-2.jpg,40.0,2,30.7021251016715,30,10.0,10.0
T40G-3.jpg,40.0,3,29.543268239234777,30,10.0,10.0
T40G-4.jpg,40.0,4,30.790996633323648,30,10.0,10.0
T40G-5.jpg,40.0,5,23.92894735156822,20,20.0,20.0
T50G-1.jpg,50.0,1,29.79688050581586,30,20.0,20.0
T50G-2.jpg,50.0,2,25.804587661736832,30,20.0,20.0
T50G-3.jpg,50.0,3,30.67612910865362,30,20.0,20.0
T50G-4.jpg,50.0,4,27.306853323447676,30,20.0,20.0
T50G-5.jpg,50.0,5,27.38518728072111,30,20.0,20.0
