modelo,MAE,RMSE,R2
Escenario 3 - CatBoost Discretizado - LOO,13.461538461538462,16.290629680421052,-0.17639344262295076
Escenario 3 - CatBoost Discretizado - LOWO,17.692307692307693,21.122354181147664,-0.977704918032787
