imagen,gramos,iteracion,predicho,error,error_abs
T0G-1.jpg,0.0,1,35.24281614923534,-35.24281614923534,35.24281614923534
T10G-1.jpg,10.0,1,28.29790977325193,-18.29790977325193,18.29790977325193
T10G-2.jpg,10.0,2,30.505224382248386,-20.505224382248386,20.505224382248386
T10G-3.jpg,10.0,3,31.25746932891046,-21.25746932891046,21.25746932891046
T10G-4.jpg,10.0,4,31.29298879343846,-21.29298879343846,21.29298879343846
T10G-5.jpg,10.0,5,34.67299054733287,-24.672990547332873,24.672990547332873
T20G-1.jpg,20.0,1,26.407313962805564,-6.4073139628055635,6.4073139628055635
T20G-2.jpg,20.0,2,32.193182364163434,-12.193182364163434,12.193182364163434
T20G-3.jpg,20.0,3,33.83725816753734,-13.837258167537343,13.837258167537343
T20G-4.jpg,20.0,4,25.669767751436815,-5.669767751436815,5.669767751436815
T20G-5.jpg,20.0,5,25.76494584509979,-5.764945845099788,5.764945845099788
T30G-1.jpg,30.0,1,26.556762820323083,3.443237179676917,3.443237179676917
T30G-2.jpg,30.0,2,25.244696404759576,4.755303595240424,4.755303595240424
T30G-3.jpg,30.0,3,32.33472392448459,-2.3347239244845923,2.3347239244845923
T30G-4.jpg,30.0,4,33.9023242057298,-3.9023242057297978,3.9023242057297978
T30G-5.jpg,30.0,5,31.162087411387233,-1.1620874113872333,1.1620874113872333
T40G-1.jpg,40.0,1,28.020882178917837,11.979117821082163,11.979117821082163
T40G-2.jpg,40.0,2,30.7021251016715,9.297874898328502,9.297874898328502
T40G-3.jpg,40.0,3,29.543268239234777,10.456731760765223,10.456731760765223
T40G-4.jpg,40.0,4,30.790996633323648,9.209003366676352,9.209003366676352
T40G-5.jpg,40.0,5,23.92894735156822,16.07105264843178,16.07105264843178
T50G-1.jpg,50.0,1,29.79688050581586,20.20311949418414,20.20311949418414
T50G-2.jpg,50.0,2,25.804587661736832,24.195412338263168,24.195412338263168
T50G-3.jpg,50.0,3,30.67612910865362,19.32387089134638,19.32387089134638
T50G-4.jpg,50.0,4,27.306853323447676,22.693146676552324,22.693146676552324
T50G-5.jpg,50.0,5,27.38518728072111,22.61481271927889,22.61481271927889
