grupo_excluido,n_test,MAE,RMSE
0.0,1,35.24281614923534,35.24281614923534
10.0,5,24.485057019558894,24.67007242621399
20.0,5,10.427869805494803,10.68031170617331
30.0,5,3.065753598953566,3.4136830966331617
40.0,5,15.22995367287145,15.35753796344329
50.0,5,26.137320114942547,26.15559313941837
