feature,mutual_information
cold_lbp_25_9,0.0
cold_lbp_25_17,0.0
cold_lbp_25_16,0.0
cold_lbp_30_21,0.0
cold_lbp_30_20,0.0
cold_lbp_30_19,0.0
cold_lbp_30_17,0.0
cold_lbp_30_16,0.0
cold_lbp_30_10,0.0
cold_lbp_30_9,0.0
cold_std_30,0.0
cold_area_pct_30,0.0
cold_lbp_25_21,0.0
cold_lbp_25_22,0.0
cold_lbp_30_23,0.0
cold_std_35,0.0
cold_area_pct_35,0.0
cold_lbp_35_0,0.0
cold_lbp_35_1,0.0
cold_lbp_35_22,0.0
cold_lbp_35_21,0.0
cold_lbp_35_20,0.0
cold_lbp_35_18,0.0
cold_lbp_35_16,0.0
cold_lbp_35_17,0.0
cold_lbp_35_9,0.0
cold_lbp_40_1,0.0
cold_area_pct_40,0.0
cold_lbp_35_25,0.0
cold_std_40,0.0
cold_lbp_35_24,0.0
cold_lbp_40_14,0.0
cold_lbp_40_15,0.0
cold_lbp_40_10,0.0
cold_lbp_40_24,0.0
