feature,importance
peso_cama_5cm_g,0.2191089349219703
peso_cama_10cm_g,0.18346446417015802
acel_y_g,0.16726653891455598
acel_z_g,0.06605627199152586
cold_lbp_40_5,0.031694889631630634
conductividad_us_cm,0.02673412233875592
temperatura_c,0.02514258120673097
img_lbp_4,0.02068104377453832
nitrogeno_mg_kg,0.01411495349467479
salud,0.012761676758452916
humedad_pct,0.01274867102777285
cold_lbp_40_4,0.010285311778670904
cold_lbp_30_5,0.008462679210637212
cold_lbp_25_0,0.00827469972084756
cold_lbp_40_3,0.007221585459027603
cold_lbp_25_4,0.006993709863671702
cold_lbp_40_13,0.0069302745435048
cold_lbp_35_13,0.006912815627508239
potasio_mg_kg,0.006891124615189129
cold_lbp_35_4,0.00642073838155682
img_lbp_5,0.0060801938748784095
cold_lbp_35_11,0.005280486923406884
cold_lbp_35_5,0.005186172937236615
cold_lbp_30_0,0.004857617924830186
cold_lbp_30_13,0.004766581804957162
ph,0.004727446100609567
cold_lbp_40_9,0.0046694287925092
cold_lbp_25_2,0.003756413985242796
cold_lbp_30_6,0.003617075001381446
cold_lbp_30_4,0.003438982812837094
cold_lbp_25_5,0.003416749521661884
fosforo_mg_kg,0.0033095078421938357
img_pix_percentile_count_50,0.003270407635428241
cold_lbp_40_0,0.0031610584542448544
cold_lbp_40_6,0.0028821074835143914
cold_lbp_35_15,0.002756242845105846
img_glcm_homogeneity_std,0.0025532747522732466
cold_lbp_40_12,0.002326200823681414
cold_lbp_40_8,0.0021716305951393457
img_lbp_18,0.0021535876745142945
cold_lbp_25_6,0.0020619869971653547
img_pix_percentile_density_50,0.0020231419633177108
cold_lbp_35_3,0.0018234268540472647
img_lbp_3,0.0017947845862387164
cold_lbp_40_10,0.0017461383685263968
cold_lbp_35_9,0.0017237505345283352
cold_lbp_35_6,0.0017099280646555583
cold_lbp_25_13,0.0016461449062605135
cold_lbp_25_7,0.0016248918940168252
cold_lbp_25_1,0.001474680306905371
img_pix_percentile_count_80,0.0014715897758883726
cold_lbp_40_16,0.0014508431212644525
cold_lbp_25_12,0.0014385228545825439
cold_lbp_35_25,0.0013872375660000833
cold_lbp_35_2,0.001325928645486295
img_pix_percentile_density_80,0.0011652835861996598
img_pix_percentile_density_60,0.0011272022580183878
cold_std_35,0.0011024324344167196
cold_lbp_30_12,0.0010912085545864204
cold_lbp_30_17,0.0010693955780645475
img_lbp_24,0.0010138374359492594
cold_lbp_40_11,0.0009619530719609645
img_lbp_17,0.0009603107028069326
img_pix_percentile_count_75,0.0008714083476081554
cold_lbp_35_14,0.0008588992337022021
cold_lbp_40_14,0.0008492527301942966
cold_lbp_25_20,0.0008043681043657666
cold_lbp_35_16,0.0007976762682610668
cold_lbp_40_21,0.0007605185658131236
img_pix_percentile_density_75,0.0007123598968076004
cold_std_30,0.0007109468752635701
cold_lbp_25_11,0.000710621149175598
cold_lbp_35_17,0.0006892165199607618
cold_lbp_30_11,0.0006799426967336686
cold_lbp_25_23,0.0006642644124946207
cold_lbp_35_21,0.0006571892178151997
cold_lbp_35_22,0.0006316713304928861
cold_lbp_40_15,0.0006268557288636628
cold_lbp_40_22,0.0006216229016466401
cold_area_pct_35,0.0006213096737507642
img_lbp_6,0.0006130571776310481
img_glcm_energy_mean,0.000573064102822773
cold_lbp_40_2,0.0005699892867837261
cold_lbp_30_8,0.0005544550383281158
img_lbp_16,0.0005400252039908806
cold_lbp_40_20,0.0005271097155622396
cold_lbp_35_24,0.0005238756047480485
cold_lbp_40_7,0.000513209458242723
cold_lbp_25_8,0.0004989536182736544
cold_lbp_25_10,0.00048580852072642146
cold_lbp_30_7,0.0004825566455493031
cold_lbp_25_3,0.0004803217342400023
cold_lbp_25_15,0.000478848267948043
cold_lbp_40_23,0.00046833981358767305
img_lbp_12,0.0004645648599200111
img_pix_percentile_count_95,0.0004636632930507965
