feature,importance_mean,importance_std
peso_cama_5cm_g,3.6742564102564104,0.6251560036729528
peso_cama_10cm_g,2.511743589743589,0.4794305026149325
acel_y_g,2.077128205128205,0.4594794212943936
acel_z_g,0.5513589743589746,0.08938706103131436
cold_lbp_40_5,0.2343076923076925,0.11884048613155451
conductividad_us_cm,0.19958974358974366,0.07988644142780031
temperatura_c,0.17100000000000032,0.0842643417463213
img_lbp_4,0.12466666666666688,0.07610097448059892
nitrogeno_mg_kg,0.10441025641025682,0.04580635569680513
humedad_pct,0.10307692307692326,0.040973845508800975
salud,0.0709487179487183,0.03909714968819278
cold_lbp_25_0,0.06300000000000035,0.0338632532563624
cold_lbp_40_4,0.053923076923077184,0.038650994919717484
cold_lbp_40_13,0.05251282051282079,0.030395118816402864
potasio_mg_kg,0.05120512820512844,0.023193452226156368
cold_lbp_35_13,0.05002564102564117,0.03379686582187739
cold_lbp_40_3,0.047769230769230994,0.026235430821214895
cold_lbp_30_5,0.04379487179487196,0.02138123320729716
ph,0.039820512820513174,0.01621439608397977
cold_lbp_40_9,0.038846153846153794,0.0339263327700892
cold_lbp_30_0,0.038205128205128405,0.019791151503728212
cold_lbp_25_4,0.037692307692307955,0.01907009803470493
img_glcm_homogeneity_std,0.03556410256410265,0.018429120397688008
img_lbp_5,0.032051282051282166,0.023918280773522933
cold_lbp_35_4,0.02810256410256445,0.023067291437309727
cold_lbp_30_4,0.027000000000000142,0.01225364736587669
cold_lbp_35_11,0.02664102564102598,0.02189222600605811
cold_lbp_35_5,0.02653846153846174,0.0162059598942696
img_pix_percentile_count_80,0.025256410256410233,0.009444289746190184
img_pix_percentile_density_80,0.024615384615384543,0.008944271909999111
img_pix_percentile_count_50,0.02212820512820557,0.017237960190576156
cold_lbp_25_2,0.02133333333333357,0.011256264235954867
cold_lbp_30_13,0.02112820512820547,0.01640673039041837
cold_lbp_35_15,0.018846153846153773,0.008803688486451007
cold_lbp_40_10,0.018717948717948806,0.009821550457332719
cold_lbp_40_0,0.017487179487179778,0.008736631564737193
img_lbp_17,0.01671794871794891,0.0073967137362473045
img_lbp_18,0.016153846153846473,0.009448291748381035
fosforo_mg_kg,0.014871794871795263,0.014293808170157461
img_pix_percentile_density_50,0.0143076923076924,0.010412782313241728
cold_lbp_25_5,0.011153846153846366,0.010843607629842444
cold_lbp_25_7,0.010948717948718042,0.00626087482570682
cold_lbp_35_3,0.00964102564102598,0.005884266231751177
img_lbp_19,0.009589743589743582,0.004920405257973613
cold_lbp_35_6,0.009512820512820852,0.005441035307756191
cold_lbp_25_12,0.009179487179487245,0.00975222289601424
