imagen,gramos,iteracion,predicho,error,error_abs
T0G-1.jpg,0.0,1,38.493712557483775,-38.493712557483775,38.493712557483775
T10G-1.jpg,10.0,1,23.647936967493997,-13.647936967493997,13.647936967493997
T10G-2.jpg,10.0,2,32.419927845315655,-22.419927845315655,22.419927845315655
T10G-3.jpg,10.0,3,35.490696079931936,-25.490696079931936,25.490696079931936
T10G-4.jpg,10.0,4,22.24376983842621,-12.24376983842621,12.24376983842621
T10G-5.jpg,10.0,5,34.693968857015236,-24.693968857015236,24.693968857015236
T20G-1.jpg,20.0,1,24.106901290577028,-4.106901290577028,4.106901290577028
T20G-2.jpg,20.0,2,24.785662685042688,-4.785662685042688,4.785662685042688
T20G-3.jpg,20.0,3,31.86282584063756,-11.862825840637559,11.862825840637559
T20G-4.jpg,20.0,4,19.836261186670093,0.16373881332990692,0.16373881332990692
T20G-5.jpg,20.0,5,34.47635408608656,-14.476354086086559,14.476354086086559
T30G-1.jpg,30.0,1,22.895813947324896,7.104186052675104,7.104186052675104
T30G-2.jpg,30.0,2,26.30733239102939,3.692667608970609,3.692667608970609
T30G-3.jpg,30.0,3,33.25352610638017,-3.2535261063801713,3.2535261063801713
T30G-4.jpg,30.0,4,37.975072035478334,-7.975072035478334,7.975072035478334
T30G-5.jpg,30.0,5,32.981727134598145,-2.9817271345981453,2.9817271345981453
T40G-1.jpg,40.0,1,29.665093444457895,10.334906555542105,10.334906555542105
T40G-2.jpg,40.0,2,38.14867588888265,1.85132411111735,1.85132411111735
T40G-3.jpg,40.0,3,31.303577425272426,8.696422574727574,8.696422574727574
T40G-4.jpg,40.0,4,34.73568124630701,5.26431875369299,5.26431875369299
T40G-5.jpg,40.0,5,8.859417858377665,31.140582141622335,31.140582141622335
T50G-1.jpg,50.0,1,21.38891697062587,28.61108302937413,28.61108302937413
T50G-2.jpg,50.0,2,22.069816350400203,27.930183649599797,27.930183649599797
T50G-3.jpg,50.0,3,36.447959449504545,13.552040550495455,13.552040550495455
T50G-4.jpg,50.0,4,26.999776200028904,23.000223799971096,23.000223799971096
T50G-5.jpg,50.0,5,24.92247482324226,25.07752517675774,25.07752517675774
