thermal_mean,thermal_std,thermal_min,thermal_max,thermal_median,thermal_p10,thermal_p25,thermal_p75,thermal_p90,thermal_iqr,thermal_range,thermal_skew,thermal_kurtosis,thermal_entropy,hot_area_p90,hot_area_p75,cold_area_p10,cold_area_p25,thermal_cv,glcm_contrast_mean,glcm_contrast_std,glcm_dissimilarity_mean,glcm_dissimilarity_std,glcm_homogeneity_mean,glcm_homogeneity_std,glcm_energy_mean,glcm_energy_std,glcm_correlation_mean,glcm_correlation_std,glcm_ASM_mean,glcm_ASM_std,lbp_bin_0,lbp_bin_1,lbp_bin_2,lbp_bin_3,lbp_bin_4,lbp_bin_5,lbp_bin_6,lbp_bin_7,lbp_bin_8,lbp_bin_9,lbp_bin_10,lbp_bin_11,lbp_bin_12,lbp_bin_13,lbp_bin_14,lbp_bin_15,lbp_bin_16,lbp_bin_17,imagen,gramos,iteracion
0.16924535,0.20580871,0.0,1.0,0.13093272,0.02226315,0.04601579,0.18452218,0.4483498,0.13850638,1.0,2.3983521,6.320773,12.937341852753585,0.09999901913664408,0.2499828348912713,0.10000392345342371,0.24998773920805092,1.2160375,59.15027408920267,53.468695756825376,3.0765515256952285,1.5929012760724814,0.5682717030295613,0.08234654136064139,0.1621789935501827,0.018269536142909878,0.988896041925816,0.010149942003955621,0.026635801899827293,0.005818114722371258,0.005409461407931261,0.003673333267942443,0.007327049268766368,0.009136742160449627,0.00972035585722553,0.0190140361546233,0.03793979460721327,0.0924708928799129,0.12790948592951515,0.12735529813341703,0.06375121381840296,0.06041627840825495,0.023609380977136076,0.021363203892065797,0.023682945728830517,0.018028268481917784,0.28777549999509566,0.061416759031299346,T0G-1.jpg,0.0,1
0.61360615,0.33201003,0.0,1.0,0.7924525,0.1320478,0.24484803,0.88027936,0.9522986,0.63543135,1.0,-0.5341048,-1.4460676,10.545736815655118,0.10000392345342371,0.2494139341448343,0.09998430618630519,0.24999754784161018,0.54108,142.35735268858505,126.35689055419077,2.8337678815370904,1.5280446512131127,0.6731092220634629,0.07812616046380642,0.2847527501516336,0.006534731148369279,0.9900159364827016,0.008885393804739006,0.08112683143010012,0.0037004463663591947,0.0030750066208276527,0.0024619670233739736,0.003791036870653549,0.0060028837382664225,0.006807191690125648,0.014119528008553128,0.03096095182980059,0.08346656727251327,0.10379496032407726,0.10697786191405675,0.05694892644505694,0.048739100155957275,0.015365224470579003,0.013893929436690175,0.015335798569901226,0.015124912948377162,0.44283037929985974,0.030303773381330248,T10G-1.jpg,10.0,1
0.23162626,0.35012814,0.0,0.99999994,0.009266987,0.0,0.0,0.347147,0.8784767,0.347147,0.99999994,1.1835021,-0.31879997,8.2296081937706,0.10000392345342371,0.24999754784161018,0.0,0.0,1.5116081,327.7783047716065,286.3564023309413,6.866732273492168,3.34585808859686,0.5675057771845982,0.042362639801410994,0.4483907234408095,0.009870029984457795,0.9791602495868125,0.018269370877246578,0.20115165835966653,0.00880461188542155,0.014305892046179047,0.007165206815038597,0.012226461731616168,0.015978264068032683,0.017621210189208543,0.02657649262881188,0.04032329256211317,0.06706162764465283,0.07601200576747653,0.06409451599297702,0.036311561436376295,0.025404360918480445,0.016321566242606743,0.013123951702288354,0.010004806230444037,0.005836136967759022,0.49069160675226337,0.060941040303675295,T10G-2.jpg,10.0,2
0.38828415,0.20183735,0.0,0.9999999,0.28266662,0.2454695,0.2803124,0.51785594,0.7648166,0.23754355,0.9999999,1.0580819,0.18430686,9.69078801423105,0.09567341173701091,0.24999264352483055,0.09972928171376445,0.24524036056536963,0.51981866,438.21638462405616,333.61346252900336,8.997479332363008,3.9379322711781555,0.44253007223795,0.06269481627483947,0.23577347679760044,0.019164431955275413,0.9155625253962469,0.06483833606770487,0.05595640781339701,0.008859218707817466,0.01255014663907171,0.008739492501299644,0.014070484840756833,0.01764082745632706,0.01764082745632706,0.02942099636099695,0.044079999215309314,0.07084776019852675,0.08025914409863562,0.11299545860266207,0.07455542368392659,0.07952349658169121,0.03797902914145031,0.031544565526576494,0.02925424959048955,0.018621690812252945,0.22353385449872978,0.09674255279497013,T10G-3.jpg,10.0,3
0.23171082,0.13781412,0.0,0.99999994,0.25570485,0.0065749465,0.22231638,0.28868246,0.2895043,0.06636608,0.99999994,1.6397666,9.9026785,9.445575396263028,0.0998862198507126,0.2484330707889084,0.09994997596884778,0.2499534089905935,0.5947677,68.31297883064798,57.96162524717449,3.272897127061864,1.6017662552417335,0.5449944295290979,0.08740595454036695,0.18719005121971807,0.019546194471625596,0.9719557576887587,0.023871133777073467,0.035422168993963284,0.0071542431565905186,0.008974899706721856,0.006821904640464537,0.010706123529931045,0.015188669066512344,0.015806612980745652,0.029009033751508078,0.046757756176986985,0.08170101323184667,0.08853763082265009,0.10684054104422713,0.06517837000127512,0.06608076428872693,0.031260115153357984,0.027331757412874812,0.021608419731047268,0.016993457641415976,0.27110572726113524,0.09009720355857226,T10G-4.jpg,10.0,4
0.23978876,0.18101373,0.0,1.0,0.19558421,0.058096148,0.16277802,0.25256342,0.49268883,0.0897854,1.0,1.9320219,4.4178996,13.870197842078124,0.09999901913664408,0.24999264352483055,0.10000392345342371,0.24999754784161018,0.7548883,86.85390109662717,74.32483823207615,5.184817864010251,2.461690349469579,0.34979932181891976,0.08462307654573856,0.08190253277122926,0.012766414846142913,0.9791924455299467,0.01795232467736863,0.006871006222366101,0.0020372451819356194,0.014845366891938284,0.009401575266549616,0.015973359751253052,0.020323488734784356,0.02115722258732136,0.03328559798334494,0.05538935370913478,0.1115192592519936,0.14309325067924789,0.13649204029386666,0.07491343880883954,0.05756687035929025,0.03042638130082098,0.024899216290178616,0.02097576286647507,0.014556012201940147,0.1287628370491707,0.08641896597385018,T10G-5.jpg,10.0,5
0.10835076,0.15341862,0.0,1.0,0.080452606,0.036068294,0.0794131,0.08519081,0.11918009,0.005777709,1.0,4.863926,23.462624,8.799124364830359,0.09999901913664408,0.2499681219409324,0.09999901913664408,0.24988474855567872,1.415944,83.51110105784117,74.34989558278401,1.9650639461714612,1.0309864630833598,0.7275648550686132,0.06554570965901194,0.44169811476637527,0.020910248304064096,0.9715697468523476,0.02573144928660382,0.1955344630723076,0.018268266845617075,0.0033202224598091238,0.0020549087306647312,0.00429618149895538,0.00611077870741827,0.005541877960981256,0.011387823562299537,0.02427146374238605,0.07026905081853047,0.0872723170935057,0.0914213690890722,0.0509607556571294,0.05170621180763308,0.017714392208021502,0.016100871987523416,0.02046571392139361,0.017513315220056693,0.4932565644280095,0.026336181106610037,T20G-1.jpg,20.0,1
0.48694068,0.22222401,0.0,0.9999999,0.50030684,0.094169796,0.37599722,0.6250256,0.7148312,0.24902835,0.9999999,-0.2995178,-0.07076359,13.177153678155607,0.09989112416749223,0.2494139341448343,0.09984208099969594,0.24999264352483055,0.45636773,108.86007304090032,95.94171795583644,5.829693664042687,2.9400524024744152,0.3072202896793705,0.08320434297314411,0.05154955606069054,0.009486966654241464,0.9828585331007614,0.015167014838804735,0.0027473592663529666,0.0009522290171510284,0.01179488185500878,0.0067581485223293545,0.011937107041618033,0.01643926984531785,0.018989514570725154,0.03798393345822993,0.06828280252278054,0.1304008788535669,0.16492236466537846,0.15796804347186394,0.0819903679218448,0.0523928161567812,0.027047307039656306,0.020504948455630646,0.014080293474316092,0.008538415513334837,0.0985718629537719,0.07139704367784525,T20G-2.jpg,20.0,2
0.26898468,0.21625029,0.0,1.0,0.2085121,0.121173315,0.20192267,0.22542116,0.46594375,0.02349849,1.0,2.3527443,5.0873737,11.697720494896929,0.09999901913664408,0.24993869604025462,0.0999695932359663,0.1827740777432296,0.8039502,113.65377969785965,95.32146529545477,4.746667198092928,2.2004166897517163,0.47907943942434644,0.0802384199644519,0.17273856546311253,0.021810925125642335,0.9808167909531958,0.01626910090945838,0.030314328453090386,0.007390486697892961,0.022662847838667594,0.014041058940079058,0.02116212690410099,0.025948740081019314,0.021642749948504673,0.035561200969092994,0.05119125854577199,0.07866033682847642,0.08487901050504654,0.07958725269982639,0.04753754254494806,0.04145618973820757,0.0239134486174731,0.022824690292395367,0.017959608047002973,0.01118674657433473,0.28565683514629575,0.11412835577875646,T20G-3.jpg,20.0,3
0.8516178,0.12414293,0.0,0.99999994,0.8675667,0.8675667,0.8675667,0.8692912,0.8770938,0.0017244816,0.99999994,-5.2277617,29.556103,5.588363787807947,0.09992545438494964,0.2496983845180528,0.06974428892311012,0.06974428892311012,0.14577305,176.97571835591535,133.7087271587423,2.8964187434089403,1.2895631009279793,0.8245967112255669,0.034425645969749154,0.6827181219423282,0.019915241663102545,0.9118720234940737,0.06648572198081425,0.4665006508789595,0.027016812163802133,0.007944993182999677,0.004664005257427588,0.008989612657060745,0.010397151572814392,0.008754205451638531,0.012074427911447656,0.01875410736530294,0.029435709311335836,0.026169434336102637,0.035016821806554126,0.017071926709890044,0.02104932761816951,0.006557071534364548,0.0065227413169071415,0.005890084452334945,0.0035899598826887426,0.7334650959774793,0.04365332365548155,T20G-4.jpg,20.0,4
