Archivo,Gramos_Reales,Iteracion,Grupo_Excluido,Prediccion,Error,Error_Abs
T0G-1.jpg,0.0,1,0.0,21.68571428571428,-21.68571428571428,21.68571428571428
T10G-1.jpg,10.0,1,10.0,21.9352380952381,-11.935238095238098,11.935238095238098
T10G-2.jpg,10.0,2,10.0,26.752817460317463,-16.752817460317463,16.752817460317463
T10G-3.jpg,10.0,3,10.0,22.740515873015877,-12.740515873015877,12.740515873015877
T10G-4.jpg,10.0,4,10.0,25.489841269841275,-15.489841269841275,15.489841269841275
T10G-5.jpg,10.0,5,10.0,24.387896825396833,-14.387896825396833,14.387896825396833
T20G-1.jpg,20.0,1,20.0,11.27638888888889,8.72361111111111,8.72361111111111
T20G-2.jpg,20.0,2,20.0,13.378055555555555,6.621944444444445,6.621944444444445
T20G-3.jpg,20.0,3,20.0,36.85777777777777,-16.85777777777777,16.85777777777777
T20G-4.jpg,20.0,4,20.0,9.565277777777778,10.434722222222222,10.434722222222222
T20G-5.jpg,20.0,5,20.0,21.174087301587303,-1.1740873015873028,1.1740873015873028
T30G-1.jpg,30.0,1,30.0,36.07174603174603,-6.071746031746031,6.071746031746031
T30G-2.jpg,30.0,2,30.0,34.45460317460317,-4.454603174603172,4.454603174603172
T30G-3.jpg,30.0,3,30.0,37.509047619047614,-7.509047619047614,7.509047619047614
T30G-4.jpg,30.0,4,30.0,38.19611111111111,-8.196111111111108,8.196111111111108
T30G-5.jpg,30.0,5,30.0,46.19611111111111,-16.196111111111108,16.196111111111108
T40G-1.jpg,40.0,1,40.0,36.11944444444444,3.88055555555556,3.88055555555556
T40G-2.jpg,40.0,2,40.0,42.0636507936508,-2.063650793650801,2.063650793650801
T40G-3.jpg,40.0,3,40.0,31.148849206349205,8.851150793650795,8.851150793650795
T40G-4.jpg,40.0,4,40.0,39.36753968253968,0.6324603174603212,0.6324603174603212
T40G-5.jpg,40.0,5,40.0,33.77809523809523,6.221904761904767,6.221904761904767
T50G-1.jpg,50.0,1,50.0,33.64579365079365,16.35420634920635,16.35420634920635
T50G-2.jpg,50.0,2,50.0,36.8652380952381,13.134761904761902,13.134761904761902
T50G-3.jpg,50.0,3,50.0,37.06801587301588,12.93198412698412,12.93198412698412
T50G-4.jpg,50.0,4,50.0,14.125317460317461,35.87468253968254,35.87468253968254
T50G-5.jpg,50.0,5,50.0,27.768531746031755,22.231468253968245,22.231468253968245
