Archivo,Gramos_Reales,Iteracion,Pixeles_Conteo_50,Densidad_Pct_50,Pixeles_Conteo_80,Densidad_Pct_80,Pixeles_Conteo_100,Densidad_Pct_100,Pixeles_Conteo_130,Densidad_Pct_130,Pixeles_Conteo_150,Densidad_Pct_150,Pixeles_Conteo_180,Densidad_Pct_180,Pixeles_Conteo_200,Densidad_Pct_200,Pixeles_Percentil_50,Densidad_Percentil_50,Pixeles_Percentil_60,Densidad_Percentil_60,Pixeles_Percentil_70,Densidad_Percentil_70,Pixeles_Percentil_75,Densidad_Percentil_75,Pixeles_Percentil_80,Densidad_Percentil_80,Pixeles_Percentil_85,Densidad_Percentil_85,Pixeles_Percentil_90,Densidad_Percentil_90,Pixeles_Percentil_95,Densidad_Percentil_95,gray_mean,gray_std,gray_min,gray_max,gray_median,gray_p10,gray_p25,gray_p75,gray_p90,gray_iqr,gray_range,LBP_Patron_0,LBP_Patron_1,LBP_Patron_2,LBP_Patron_3,LBP_Patron_4,LBP_Patron_5,LBP_Patron_6,LBP_Patron_7,LBP_Patron_8,LBP_Patron_9,LBP_Patron_10,LBP_Patron_11,LBP_Patron_12,LBP_Patron_13,LBP_Patron_14,LBP_Patron_15,LBP_Patron_16,LBP_Patron_17,LBP_Patron_18,LBP_Patron_19,LBP_Patron_20,LBP_Patron_21,LBP_Patron_22,LBP_Patron_23,LBP_Patron_24,LBP_Patron_25
T30G-3.jpg,30.0,3,174080,100.0,174080,100.0,174080,100.0,174017,99.96380974264706,168146,96.5912224264706,97205,55.83926930147059,0,0.0,82237,47.2409237132353,51634,29.66107536764706,51634,29.66107536764706,30370,17.446001838235293,30370,17.446001838235293,4652,2.6723345588235294,4652,2.6723345588235294,4652,2.6723345588235294,177.61368336397058,10.392860414732281,128,189,182.0,162.0,175.0,185.0,186.0,10.0,61,0.030043658088235295,0.014343979779411764,0.016073069852941175,0.014786305147058823,0.012586167279411765,0.01379250919117647,0.012166819852941177,0.015337775735294117,0.019806985294117646,0.023650045955882354,0.02707375919117647,0.03362821691176471,0.03223230698529412,0.042710248161764705,0.037270220588235294,0.036414292279411765,0.03017578125,0.03651769301470588,0.02561465992647059,0.02754480698529412,0.030129825367647058,0.025017233455882353,0.021788832720588236,0.012264476102941176,0.10464728860294117,0.30438304227941176
T30G-4.jpg,30.0,4,173754,99.81272977941177,162798,93.51907169117646,90703,52.10420496323529,17385,9.986787683823529,2865,1.6457950367647058,246,0.1413143382352941,0,0.0,85125,48.89993106617647,67809,38.952780330882355,48424,27.817095588235297,41639,23.91946231617647,34050,19.559972426470587,23599,13.556410845588236,17385,9.986787683823529,8237,4.731732536764706,105.02856732536765,18.196331008496987,35,187,101.0,88.0,92.0,115.0,130.0,23.0,152,0.02556295955882353,0.011764705882352941,0.012861902573529411,0.012235753676470588,0.012270220588235294,0.014717371323529412,0.014361213235294117,0.019514016544117645,0.027435661764705882,0.033995863970588236,0.04213005514705882,0.05278033088235294,0.05171760110294118,0.06057559742647059,0.04744370404411765,0.04120519301470588,0.03159466911764706,0.03128446691176471,0.02143841911764706,0.022305836397058822,0.024086626838235294,0.021357996323529412,0.017687270220588237,0.010104549632352942,0.09077435661764706,0.24879365808823528
T30G-5.jpg,30.0,5,174080,100.0,174080,100.0,173120,99.44852941176471,147620,84.80009191176471,84834,48.732766544117645,1599,0.9185431985294118,0,0.0,84834,48.732766544117645,67640,38.85569852941176,48167,27.669462316176467,41508,23.84420955882353,33205,19.074563419117645,23494,13.496093749999998,17131,9.84087775735294,8318,4.778262867647059,149.18366842830883,16.974902837437032,96,189,150.0,125.0,141.0,161.0,170.0,20.0,93,0.025545726102941178,0.011534926470588236,0.01374655330882353,0.015010340073529412,0.01586626838235294,0.019738051470588235,0.01911764705882353,0.023770680147058822,0.02973920036764706,0.03859719669117647,0.043244485294117646,0.053923483455882354,0.051068474264705885,0.05430261948529412,0.048046875,0.04113625919117647,0.03367417279411765,0.03288717830882353,0.024523207720588237,0.024069393382352942,0.022805606617647058,0.0197265625,0.015533088235294118,0.009478400735294117,0.07203010110294118,0.2408835018382353
T40G-1.jpg,40.0,1,174054,99.98506433823529,172180,98.90854779411765,163328,93.82352941176471,102892,59.1061580882353,42734,24.54848345588235,10211,5.865693933823529,0,0.0,82377,47.32134650735294,69396,39.86443014705882,51155,29.385914522058826,42734,24.54848345588235,33749,19.38706341911765,25881,14.867302389705884,17170,9.86328125,8435,4.8454733455882355,135.5037109375,23.43258350427509,48,189,134.0,112.0,120.0,150.0,171.0,30.0,141,0.02660845588235294,0.011144301470588236,0.01296530330882353,0.01345358455882353,0.014252068014705882,0.016727941176470588,0.01663028492647059,0.023110064338235294,0.029825367647058825,0.038361672794117646,0.04801815257352941,0.06009306066176471,0.061770450367647056,0.06600988051470588,0.053969439338235295,0.04528952205882353,0.034932215073529414,0.029940257352941178,0.020909926470588234,0.019324448529411765,0.019962086397058824,0.018416819852941177,0.015441176470588236,0.009237132352941177,0.06983570772058824,0.22377068014705884
T40G-2.jpg,40.0,2,174080,100.0,174080,100.0,174080,100.0,171545,98.54377297794117,154767,88.90567555147058,20218,11.614200367647058,0,0.0,80516,46.252297794117645,67350,38.689108455882355,49858,28.640854779411768,42142,24.20840992647059,34542,19.842601102941178,24638,14.15326286764706,15396,8.844209558823529,7516,4.317555147058823,166.5162166819853,12.775998988830883,101,188,167.0,150.0,160.0,176.0,182.0,16.0,87,0.031508501838235295,0.013625919117647059,0.01609030330882353,0.015883501838235295,0.015814568014705883,0.018571920955882355,0.01594094669117647,0.020904181985294118,0.025229779411764706,0.028406479779411766,0.03298483455882353,0.04106158088235294,0.037810202205882354,0.0458984375,0.04092945772058824,0.03701171875,0.03290441176470588,0.03458754595588235,0.02541934742647059,0.025448069852941176,0.026734834558823528,0.02123736213235294,0.017411534926470587,0.010828354779411764,0.08351332720588235,0.2842428768382353
T40G-3.jpg,40.0,3,174080,100.0,174080,100.0,173992,99.94944852941177,160203,92.02837775735294,110548,63.50413602941176,20244,11.629136029411764,0,0.0,80185,46.062155330882355,69504,39.9264705882353,48446,27.829733455882355,42470,24.396829044117645,34639,19.898322610294116,22744,13.065257352941176,16957,9.740923713235293,5987,3.4392233455882355,155.53129021139705,18.601627959469667,96,189,157.0,133.0,141.0,167.0,182.0,26.0,93,0.029308363970588235,0.013396139705882352,0.01564797794117647,0.014470358455882354,0.013017003676470589,0.01450482536764706,0.014194623161764706,0.019209558823529413,0.02541934742647059,0.03157169117647059,0.03849379595588235,0.04973000919117647,0.04782284007352941,0.053952205882352944,0.044209558823529414,0.039705882352941174,0.030531939338235295,0.02981387867647059,0.021806066176470587,0.021892233455882353,0.023747702205882352,0.022811351102941177,0.019060202205882355,0.01110983455882353,0.08680491727941177,0.2677676930147059
T40G-4.jpg,40.0,4,174080,100.0,174080,100.0,173579,99.7122012867647,158113,90.82778033088236,103480,59.44393382352941,20742,11.915211397058824,0,0.0,82270,47.259880514705884,66423,38.15659466911765,49744,28.575367647058826,43175,24.801815257352942,34180,19.63465073529412,25437,14.612247242647058,16494,9.474954044117649,7211,4.142348345588235,153.8868221507353,19.001459673578807,88,189,156.0,132.0,140.0,164.0,183.0,24.0,101,0.03168658088235294,0.013321461397058823,0.014970128676470589,0.014608226102941177,0.013758042279411764,0.016291360294117648,0.015251608455882353,0.02035845588235294,0.026011029411764707,0.03200827205882353,0.037339154411764705,0.046547564338235294,0.045542279411764704,0.05265969669117647,0.04344554227941176,0.03952205882352941,0.031129365808823528,0.03120404411764706,0.02255859375,0.022369025735294118,0.024373851102941175,0.02287454044117647,0.019157858455882353,0.01096047794117647,0.08151424632352941,0.27053653492647056
T40G-5.jpg,40.0,5,174080,100.0,173229,99.5111443014706,169749,97.51206341911765,161802,92.94692095588235,133331,76.591796875,49640,28.515625,0,0.0,79026,45.396369485294116,69518,39.93451286764706,49640,28.515625,39931,22.938304227941174,31355,18.01183363970588,18960,10.89154411764706,3173,1.8227251838235294,3173,1.8227251838235294,162.40753102022057,22.151693291128993,65,189,164.0,135.0,153.0,183.0,186.0,30.0,124,0.02790670955882353,0.01294232536764706,0.01428079044117647,0.013286994485294117,0.012591911764705883,0.014803538602941176,0.014194623161764706,0.018669577205882353,0.02436810661764706,0.030847886029411766,0.037293198529411764,0.04842026654411765,0.04686351102941176,0.053894761029411764,0.04577205882352941,0.040297564338235295,0.03257123161764706,0.03227251838235294,0.02407513786764706,0.02431640625,0.025425091911764706,0.022104779411764707,0.018617876838235296,0.011046645220588236,0.08979204963235295,0.2633444393382353
T50G-1.jpg,50.0,1,174080,100.0,174080,100.0,172940,99.34512867647058,149709,86.00011488970588,76636,44.0234375,1973,1.1333869485294117,0,0.0,82540,47.41498161764706,66285,38.077320772058826,50227,28.852826286764703,40880,23.483455882352942,34063,19.567440257352942,23505,13.502412683823529,16570,9.51861213235294,8251,4.739774816176471,148.01934742647057,16.471079342933376,96,189,149.0,125.0,141.0,159.0,167.0,18.0,93,0.027022058823529413,0.012097886029411765,0.013218060661764706,0.01472311580882353,0.015228630514705882,0.018813189338235295,0.018347886029411765,0.023862591911764704,0.029940257352941178,0.03676470588235294,0.04118221507352941,0.052452895220588235,0.05043658088235294,0.05697954963235294,0.05074103860294118,0.043813189338235296,0.03616727941176471,0.03477711397058823,0.024574908088235294,0.023891314338235294,0.023081341911764707,0.019186580882352942,0.01489545036764706,0.008949908088235294,0.07007697610294118,0.2387752757352941
T50G-2.jpg,50.0,2,173964,99.93336397058825,170480,97.93198529411765,151201,86.85719209558823,94830,54.47495404411765,44922,25.805376838235293,5726,3.2892922794117645,0,0.0,84960,48.80514705882353,69133,39.71335018382353,50599,29.06652113970588,43352,24.903492647058822,29878,17.163373161764707,25829,14.837431066176471,15914,9.141773897058822,7641,4.389361213235294,131.84115349264707,25.574836972490257,47,190,133.0,97.0,115.0,152.0,164.0,37.0,143,0.02592486213235294,0.011431525735294117,0.012069163602941177,0.013717830882352941,0.01359719669117647,0.016216681985294117,0.016256893382352942,0.022616038602941178,0.02904986213235294,0.03762063419117647,0.04582950367647059,0.05770335477941176,0.058806295955882354,0.06493566176470589,0.053469669117647056,0.04572610294117647,0.035288373161764704,0.03326631433823529,0.02292624080882353,0.021714154411764705,0.020875459558823528,0.018152573529411766,0.014539292279411765,0.008243336397058824,0.07479894301470588,0.22522403492647058
