feature,importance
LBP_Patron_4,0.4909918875227309
LBP_Patron_5,0.1571459382339749
LBP_Patron_18,0.043497983915627314
LBP_Patron_3,0.04054663542966595
Pixeles_Percentil_50,0.014606004182395554
Densidad_Percentil_80,0.014336007882272689
Pixeles_Percentil_95,0.012670123608003002
Pixeles_Percentil_80,0.011653740878224954
Densidad_Percentil_50,0.011383755150040501
LBP_Patron_17,0.010917328318146366
LBP_Patron_6,0.010788411937755012
LBP_Patron_0,0.010663161187002437
Densidad_Percentil_95,0.010072802697304642
LBP_Patron_13,0.009998773341891849
LBP_Patron_19,0.008397731966033778
LBP_Patron_16,0.008168964314407041
LBP_Patron_12,0.00796441698252085
gray_iqr,0.007698098726435709
Pixeles_Percentil_75,0.0065795173011516765
Densidad_Percentil_75,0.006556599797581969
LBP_Patron_15,0.005669427225659024
Pixeles_Percentil_70,0.005182093347019158
Pixeles_Percentil_90,0.0046073183037531745
LBP_Patron_22,0.004578190198747745
Densidad_Pct_180,0.004101021875764509
Densidad_Percentil_60,0.003905631085803049
LBP_Patron_1,0.003888858453403064
LBP_Patron_8,0.0038485010927388134
Pixeles_Percentil_60,0.003688804093452999
Pixeles_Conteo_180,0.00367939549559791
Densidad_Percentil_70,0.003575545851347516
LBP_Patron_24,0.003284721932744667
Densidad_Percentil_90,0.003279557423470916
LBP_Patron_23,0.003253322341340073
LBP_Patron_14,0.003229126778231667
Pixeles_Conteo_100,0.0030438555719905077
gray_range,0.0029447810191418973
Densidad_Pct_100,0.0027012783755855432
Pixeles_Conteo_130,0.00256893872588948
gray_min,0.002532489021333993
gray_std,0.0024572385353675754
Pixeles_Percentil_85,0.0023810289859635073
gray_max,0.0022987554386753543
LBP_Patron_25,0.0022700677826168144
Pixeles_Conteo_150,0.0022579512442487772
LBP_Patron_11,0.0020551253118314835
Densidad_Percentil_85,0.00201419168449061
LBP_Patron_21,0.001897075446863375
Densidad_Pct_130,0.0017714785659831605
LBP_Patron_10,0.0014169563035173992
gray_p10,0.0013480333184404574
gray_median,0.001113461414298739
LBP_Patron_2,0.000982182819536862
gray_p75,0.000975583382112765
LBP_Patron_9,0.0009476158107721189
gray_p90,0.0007754829734876914
LBP_Patron_20,0.000740539527221628
Pixeles_Conteo_80,0.0007372308469136968
gray_p25,0.0006799438775621119
gray_mean,0.0006582916254042965
Densidad_Pct_80,0.0006147017107371557
LBP_Patron_7,0.0006013834718833156
Densidad_Pct_150,0.0005147011377956886
Pixeles_Conteo_50,0.0002439705598977461
Densidad_Pct_50,4.626663819488864e-05
Densidad_Pct_200,0.0
Pixeles_Conteo_200,0.0
