feature,mean_abs_shap
peso_cama_5cm_g,2.9305484262494113
peso_cama_10cm_g,2.6124063376499427
acel_y_g,2.394075163123877
acel_z_g,0.570649161198064
cold_lbp_40_5,0.5070996907351328
temperatura_c,0.37543535187370025
conductividad_us_cm,0.37469932390320493
img_lbp_4,0.30105346626616575
nitrogeno_mg_kg,0.21213236539476416
salud,0.18890722452091235
humedad_pct,0.1738981844872705
cold_lbp_40_4,0.1521773225308293
cold_lbp_40_9,0.14432862329977716
cold_lbp_25_0,0.13990754640867767
cold_lbp_35_13,0.12745654811823495
cold_lbp_30_5,0.12358219300809802
cold_lbp_40_3,0.12007997380112766
cold_lbp_40_13,0.11858804123227198
potasio_mg_kg,0.10198450569038801
cold_lbp_35_4,0.09701426870753362
cold_lbp_25_4,0.09305363866902326
img_lbp_5,0.0835196632726997
ph,0.0826881827323004
cold_lbp_30_0,0.08193064094025633
cold_lbp_35_5,0.07825863292690217
cold_lbp_35_11,0.0727119850883991
cold_lbp_30_13,0.07069156908325461
img_glcm_homogeneity_std,0.06380960084088344
fosforo_mg_kg,0.06146546881668338
cold_lbp_25_5,0.05778113553113552
cold_lbp_30_4,0.05341866111096882
cold_lbp_30_6,0.053170760863068565
cold_lbp_25_2,0.052183561097022615
img_pix_percentile_count_50,0.047736990724851824
cold_lbp_35_9,0.04487196706427476
cold_lbp_40_0,0.044427841703294196
cold_lbp_40_8,0.04352549746214905
img_lbp_17,0.036626404703893396
cold_lbp_40_10,0.036060844781998634
cold_lbp_40_6,0.03538476516361132
img_lbp_18,0.034444475647529955
cold_lbp_35_3,0.03342409051062897
img_pix_percentile_density_80,0.032223974743205513
cold_lbp_30_17,0.031017809113962964
cold_lbp_25_12,0.030336249555706567
img_pix_percentile_count_80,0.029052568890804202
cold_lbp_40_16,0.028987257336283885
cold_lbp_25_7,0.02844956325725556
img_pix_percentile_density_50,0.027911459595631197
img_lbp_24,0.027165915281299913
cold_lbp_25_13,0.025810076675461292
cold_lbp_35_6,0.023938151591997744
cold_lbp_25_6,0.0230217647381109
cold_lbp_35_16,0.022469726685819806
cold_lbp_35_15,0.022387321483192522
cold_lbp_25_1,0.021163708086785013
cold_std_35,0.020566554695513974
cold_area_pct_35,0.020378399912053754
cold_lbp_40_12,0.019912303131760144
cold_lbp_40_21,0.019728204487819874
img_lbp_3,0.019221835144912065
cold_lbp_25_25,0.018818140548909783
img_lbp_19,0.018810650887573964
img_pix_percentile_count_75,0.01837894157124926
cold_lbp_30_8,0.017907874888644117
img_glcm_energy_mean,0.01727993801070724
cold_lbp_35_24,0.016824100045253896
cold_lbp_35_14,0.016625626455508115
cold_lbp_30_9,0.0165065228574844
cold_lbp_40_22,0.01644679415607018
cold_lbp_30_23,0.01642184794843166
cold_lbp_40_20,0.016404360774553088
img_pix_percentile_density_75,0.016390852119090984
cold_lbp_40_15,0.015771714930368767
cold_lbp_25_10,0.01573126840964421
cold_lbp_25_23,0.015714921652421644
cold_lbp_40_11,0.015368268483653098
cold_std_30,0.015322297360758899
cold_lbp_35_17,0.014940073459304233
cold_lbp_35_12,0.01478528416028416
cold_lbp_25_20,0.014577979021983547
cold_lbp_40_2,0.014513228727029629
cold_lbp_35_22,0.013744509053811176
img_lbp_15,0.013507029295490832
cold_lbp_30_7,0.01348646937108475
uv_intensity,0.01343453554992016
cold_lbp_35_2,0.0134295327598495
img_pix_percentile_density_70,0.01318541504690679
img_lbp_6,0.012947503269248834
img_lbp_7,0.012753514291975833
acel_x_g,0.012750844596998436
cold_lbp_30_12,0.012426692965154501
cold_lbp_25_17,0.012423368298368303
img_pix_percentile_count_95,0.012414529914529914
cold_lbp_40_1,0.012307834918977452
cold_lbp_35_19,0.012299411283723027
img_pix_density_180,0.012092247747225128
cold_lbp_30_1,0.012078073635765945
cold_lbp_35_25,0.011619105442069245
cold_lbp_25_18,0.011249013806706119
cold_lbp_40_18,0.011237672583826429
cold_lbp_25_9,0.011218431853047238
cold_lbp_35_8,0.011130588428665352
img_pix_percentile_density_60,0.010843534063556688
cold_std_25,0.010753589798838663
img_pix_count_180,0.010655213376367227
cold_lbp_25_11,0.010623825960364422
img_pix_percentile_count_85,0.010496332727101957
cold_lbp_35_21,0.010435685648355338
cold_lbp_25_8,0.010341848322617557
img_lbp_2,0.009912299239222318
cold_lbp_40_23,0.00961785009861933
cold_lbp_25_3,0.009524201759778684
cold_lbp_25_22,0.009132149901380674
img_lbp_16,0.009114312786258487
img_lbp_11,0.009052896701086745
img_lbp_25,0.009003139865413621
cold_lbp_30_3,0.008885080895435922
img_pix_percentile_density_95,0.008869575936883626
img_lbp_23,0.008793139510899693
cold_lbp_40_14,0.008638961999538923
img_pix_density_130,0.008395322626091857
cold_area_pct_25,0.008283166975474668
cold_lbp_35_7,0.00812637220329528
img_glcm_contrast_mean,0.008106650402177496
img_pix_percentile_count_90,0.008102540621771393
cold_lbp_40_19,0.008018326758711378
img_glcm_ASM_mean,0.007594181459566075
img_pix_percentile_count_60,0.0075850943927867
img_glcm_dissimilarity_std,0.007564102564102565
img_glcm_correlation_mean,0.007515810400425792
cold_lbp_30_18,0.0073070759368836285
cold_lbp_25_15,0.00729284428492573
cold_median_25,0.007126465948581333
cold_lbp_30_25,0.00707989731066654
cold_lbp_25_16,0.007062504447119838
cold_area_pct_30,0.006879684418145956
img_gray_max,0.006867965399356803
img_glcm_dissimilarity_mean,0.006779257067718607
cold_lbp_30_21,0.006766929651545039
cold_lbp_30_15,0.00675243808897655
img_lbp_14,0.006747205785667321
img_gray_median,0.006705334195718813
img_lbp_22,0.0066014647745416995
img_gray_std,0.006588510848126236
img_pix_count_80,0.006551845590307131
cold_lbp_35_20,0.006535982535982538
img_pix_percentile_density_85,0.006528778239304553
cold_lbp_30_24,0.006498117267348035
cold_lbp_30_11,0.006396494531109916
cold_lbp_25_19,0.006282755705832629
cold_lbp_30_2,0.006197880111341649
img_gray_p75,0.006090533931880087
cold_lbp_40_7,0.006060837666606899
cold_lbp_30_20,0.00584386767079075
cold_lbp_30_14,0.0058086059867734074
cold_lbp_30_16,0.005784649823111361
img_pix_count_100,0.00562615447230832
img_lbp_12,0.005618343195266272
cold_mean_30,0.005558060173444789
img_glcm_homogeneity_mean,0.005480523749754517
img_gray_range,0.005403990240528699
img_pix_percentile_count_70,0.005004870129870132
cold_lbp_40_24,0.0049602240708009945
img_glcm_ASM_std,0.004866863905325444
cold_mean_40,0.004816849816849816
cold_lbp_35_0,0.004757728916382765
cold_lbp_35_23,0.0046372217526063665
cold_lbp_40_17,0.004635108481262329
img_pix_count_130,0.004537257614180692
cold_lbp_25_14,0.004506609843148304
cold_lbp_25_21,0.004444613644274278
img_pix_percentile_density_90,0.004422309883848346
img_gray_p10,0.004389792899408283
cold_lbp_35_10,0.004374154691462383
img_lbp_1,0.004337450298988763
cold_lbp_35_1,0.0039454306377383315
cold_median_35,0.003849358974358975
img_glcm_energy_std,0.0038465647600262986
img_pix_density_100,0.003784242822704361
cold_lbp_35_18,0.0037258382642998034
img_lbp_20,0.0036226166995397746
img_glcm_contrast_std,0.0035496383957922405
cold_lbp_40_25,0.0035073964497041423
cold_area_pct_40,0.0033812576312576307
img_lbp_10,0.003264145042991199
cold_lbp_30_10,0.0031702633716208383
img_gray_iqr,0.003136094674556215
img_glcm_correlation_std,0.0031208908612754766
img_lbp_13,0.0030974335493566285
img_lbp_9,0.003016950724051316
img_gray_min,0.0030015497323189655
img_gray_p25,0.0028646097492251326
cold_mean_35,0.0025206204052357906
cold_std_40,0.0023422090729783044
img_lbp_8,0.0022096208634670156
cold_lbp_30_22,0.0014781692666308056
img_lbp_21,0.0014720578566732418
cold_mean_25,0.0011266130383777435
img_pix_count_150,0.0
img_pix_count_50,0.0
img_pix_density_50,0.0
img_pix_density_80,0.0
img_lbp_0,0.0
img_pix_density_150,0.0
img_gray_mean,0.0
img_gray_p90,0.0
cold_lbp_30_19,0.0
cold_median_30,0.0
cold_lbp_25_24,0.0
cold_median_40,0.0
